leader_link/_source,leader_link,leader_link/_text,pageUrl
stats.php?id=52988,http://blocgame.com/stats.php?id=52988,Palmeiras,http://blocgame.com/rankings.php?page=8
stats.php?id=45596,http://blocgame.com/stats.php?id=45596,British Egypt,http://blocgame.com/rankings.php?page=8
stats.php?id=57942,http://blocgame.com/stats.php?id=57942,Jobror,http://blocgame.com/rankings.php?page=9
stats.php?id=54578,http://blocgame.com/stats.php?id=54578,Bear Country,http://blocgame.com/rankings.php?page=9
stats.php?id=46870,http://blocgame.com/stats.php?id=46870,Foundation,http://blocgame.com/rankings.php?page=9
stats.php?id=39022,http://blocgame.com/stats.php?id=39022,Eagleland,http://blocgame.com/rankings.php?page=9
stats.php?id=53029,http://blocgame.com/stats.php?id=53029,Reality,http://blocgame.com/rankings.php?page=9
stats.php?id=55591,http://blocgame.com/stats.php?id=55591,Broules,http://blocgame.com/rankings.php?page=9
stats.php?id=51722,http://blocgame.com/stats.php?id=51722,SPNR,http://blocgame.com/rankings.php?page=9
stats.php?id=58198,http://blocgame.com/stats.php?id=58198,Free Phoenix,http://blocgame.com/rankings.php?page=9
stats.php?id=53306,http://blocgame.com/stats.php?id=53306,Showerland,http://blocgame.com/rankings.php?page=9
stats.php?id=49817,http://blocgame.com/stats.php?id=49817,Savannah,http://blocgame.com/rankings.php?page=9
stats.php?id=54617,http://blocgame.com/stats.php?id=54617,Alanies,http://blocgame.com/rankings.php?page=9
stats.php?id=57146,http://blocgame.com/stats.php?id=57146,Melaka,http://blocgame.com/rankings.php?page=9
stats.php?id=54023,http://blocgame.com/stats.php?id=54023,San Marquez,http://blocgame.com/rankings.php?page=9
stats.php?id=54541,http://blocgame.com/stats.php?id=54541,FlySoGood,http://blocgame.com/rankings.php?page=9
stats.php?id=57767,http://blocgame.com/stats.php?id=57767,Arborea,http://blocgame.com/rankings.php?page=9
stats.php?id=57059,http://blocgame.com/stats.php?id=57059,Savarnia,http://blocgame.com/rankings.php?page=10
stats.php?id=56500,http://blocgame.com/stats.php?id=56500,Ceannesburg,http://blocgame.com/rankings.php?page=10
stats.php?id=52816,http://blocgame.com/stats.php?id=52816,karkkarkia,http://blocgame.com/rankings.php?page=10
stats.php?id=56420,http://blocgame.com/stats.php?id=56420,New Akbaristan,http://blocgame.com/rankings.php?page=10
stats.php?id=7435,http://blocgame.com/stats.php?id=7435,Graceland,http://blocgame.com/rankings.php?page=10
stats.php?id=54520,http://blocgame.com/stats.php?id=54520,Saminis,http://blocgame.com/rankings.php?page=10
stats.php?id=55914,http://blocgame.com/stats.php?id=55914,Ilonia,http://blocgame.com/rankings.php?page=10
stats.php?id=59122,http://blocgame.com/stats.php?id=59122,Scrubistan,http://blocgame.com/rankings.php?page=10
stats.php?id=53566,http://blocgame.com/stats.php?id=53566,Eisen,http://blocgame.com/rankings.php?page=10
stats.php?id=48846,http://blocgame.com/stats.php?id=48846,skrubrikei,http://blocgame.com/rankings.php?page=10
stats.php?id=46288,http://blocgame.com/stats.php?id=46288,Vekta,http://blocgame.com/rankings.php?page=10
stats.php?id=54574,http://blocgame.com/stats.php?id=54574,PMAOA,http://blocgame.com/rankings.php?page=10
stats.php?id=41496,http://blocgame.com/stats.php?id=41496,Zion,http://blocgame.com/rankings.php?page=10
stats.php?id=58215,http://blocgame.com/stats.php?id=58215,New Palestina,http://blocgame.com/rankings.php?page=10
stats.php?id=54142,http://blocgame.com/stats.php?id=54142,Krymskii,http://blocgame.com/rankings.php?page=10
stats.php?id=55968,http://blocgame.com/stats.php?id=55968,Yugoslothia,http://blocgame.com/rankings.php?page=11
stats.php?id=52930,http://blocgame.com/stats.php?id=52930,RiceFields,http://blocgame.com/rankings.php?page=11
stats.php?id=40545,http://blocgame.com/stats.php?id=40545,Oranje,http://blocgame.com/rankings.php?page=11
stats.php?id=46112,http://blocgame.com/stats.php?id=46112,Translandia,http://blocgame.com/rankings.php?page=11
stats.php?id=52935,http://blocgame.com/stats.php?id=52935,Southern Russia,http://blocgame.com/rankings.php?page=11
stats.php?id=52569,http://blocgame.com/stats.php?id=52569,Somaliya,http://blocgame.com/rankings.php?page=11
