country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Abydos,Dredgen Yor,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 101 hours ago,rankings.php?subregion=mex,,$296 million,,Mesoamerica,Untapped,None,,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60105,,
Ricardia,rdflame,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 172 hours ago,rankings.php?subregion=car,,$299 million,,Caribbean,Untapped,None,,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=60015,,
Crodaria,Stein,,19k active personnel,0 ships,First World War surplus,None,Elite,last online 173 hours ago,rankings.php?subregion=egy,,$299 million,,Egypt,Untapped,None,,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60014,,
Songun,Songun,,9k active personnel,0 ships,Finest of the 19th century,None,Good,last online 111 hours ago,rankings.php?subregion=pac,,$297 million,,Pacific Rim,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=pac,16826 km 2,http://blocgame.com/stats.php?id=60003,,
New Zoroastria,The Oligarchy,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 402290 hours ago,rankings.php?subregion=per,,$305 million,,Persia,Untapped,None,,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60209,,
.Cows.,Cow_Master,http://blocgame.com/alliancestats.php?allianceid=1644,20k active personnel,0 ships,First World War surplus,None,Poor,last online 1 hours ago,rankings.php?subregion=ara,Inter/pol/,$299 million,alliancestats.php?allianceid=1644,Arabia,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60068,,
Stormcloaks,goldentig3r,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 147 hours ago,rankings.php?subregion=car,,$296 million,,Caribbean,Untapped,None,,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=60042,,
Delta II,Gul Buddy,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 153 hours ago,rankings.php?subregion=car,,$295 million,,Caribbean,Untapped,None,,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=60028,,
Kwovdia,Emperor Divyansh,,20k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 142 hours ago,rankings.php?subregion=chi,,$282 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60053,,
Fagstan,Fagarriiino,,26k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 10 hours ago,rankings.php?subregion=ara,,$309 million,,Arabia,,Small,,http://blocgame.com/rankings.php?subregion=ara,6141 km 2,http://blocgame.com/stats.php?id=58510,1284 Mbbl,
Gas the kikes,Capple,,8k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 104 hours ago,rankings.php?subregion=car,,$309 million,,Caribbean,Untapped,None,,http://blocgame.com/rankings.php?subregion=car,16335 km 2,http://blocgame.com/stats.php?id=60101,,
Yer Mother,Tizen,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 168 hours ago,rankings.php?subregion=chi,,$293 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60021,,
NuclearBomb,MrModis,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 181 hours ago,rankings.php?subregion=per,,$290 million,,Persia,Untapped,None,,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60010,,
Cyrilleville,ibrahim.z5,,29k active personnel,0 ships,First World War surplus,None,Elite,last online 33 hours ago,rankings.php?subregion=chi,,$294 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60190,,
Shaykh,MushroomGrow,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 143 hours ago,rankings.php?subregion=mes,,$280 million,,Mesopotamia,Untapped,None,,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=60051,,
Indiabhi,abhi shek,,20k active personnel,0 ships,First World War surplus,None,Standard,last online 18 hours ago,rankings.php?subregion=sea,,$304 million,,Indochina,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=sea,16172 km 2,http://blocgame.com/stats.php?id=60023,,
The Red Flag,Matterhorn75,,9k active personnel,0 ships,First World War surplus,None,Elite,last online 46 hours ago,rankings.php?subregion=waf,,$296 million,,West Africa,Near Depletion,None,,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=60001,,
Lux,Simoun Ibarra,,19k active personnel,0 ships,First World War surplus,None,Elite,last online 141 hours ago,rankings.php?subregion=ind,,$286 million,,East Indies,Untapped,None,,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60054,,
Galaxy,ryanus,http://blocgame.com/alliancestats.php?allianceid=1883,11k active personnel,0 ships,First World War surplus,None,Standard,last online 21 hours ago,rankings.php?subregion=ama,Freedom,$293 million,alliancestats.php?allianceid=1883,Amazonia,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=ama,19595 km 2,http://blocgame.com/stats.php?id=60045,64 Mbbl,
Lachlandia,Zenkraft,,9k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 148 hours ago,rankings.php?subregion=pac,,$286 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,16172 km 2,http://blocgame.com/stats.php?id=60039,,
Pehon,Pe hon,,5k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 141 hours ago,rankings.php?subregion=sea,,$286 million,,Indochina,Untapped,None,,http://blocgame.com/rankings.php?subregion=sea,16172 km 2,http://blocgame.com/stats.php?id=60055,,
jewlandiasta,jewlandzzzzzzssss,,8k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 66 hours ago,rankings.php?subregion=chi,,$291 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,16501 km 2,http://blocgame.com/stats.php?id=60151,,
Chibiskaya,GeneralPopo,,8k active personnel,0 ships,Second World War surplus,None,Poor,last online 26 hours ago,rankings.php?subregion=chi,,$233 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,9360 km 2,http://blocgame.com/stats.php?id=51569,,
