country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
Gohan wa Okazu,Yui Hirasawa,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=saf,,$300 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,None,http://blocgame.com/stats.php?id=61638,,,,Normal,,
Much War,Dan The Magic Man,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 31 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61645,,,,Normal,,
Birdland,tweetweetwee,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 36 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=61646,,,,Normal,,
Ashoqa,Asoka,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 10 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61653,,,,Normal,,
Zanujiah,Al-Zanuj,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 5 hours ago,rankings.php?subregion=egy,,$300 million,,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,None,http://blocgame.com/stats.php?id=61655,,,,Normal,,
Pakyu,General Hamizan,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 4 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61656,,,,Normal,,
newlind,coolcool12345,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 16 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61658,,,,Normal,,
Arabstan,AxanderTheGreat,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 66 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61659,,,,Normal,,
livil,ntlthsnxplds,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 46 hours ago,rankings.php?subregion=con,,$300 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,None,http://blocgame.com/stats.php?id=61666,,,,Normal,,
United-Muslims,Karim,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 66 hours ago,rankings.php?subregion=mes,,$300 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,None,http://blocgame.com/stats.php?id=61674,,,,Normal,,
Trartana,Alan Ferraro,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 91 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61679,,,,Normal,,
Brickfields,bangunawalelaktol,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 157 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61682,,,,Normal,,
Goatfuck,assterix,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 155 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61684,,,,Normal,,
