country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
hadouken,Mikeisgay,http://blocgame.com/alliancestats.php?allianceid=1756,5k active personnel,12 ships,Second World War surplus,3 factories,Undisciplined Rabble,last online 116 hours ago,rankings.php?subregion=egy,The Golden Company,$2555 million,alliancestats.php?allianceid=1756,Egypt,Mediocre,http://blocgame.com/rankings.php?subregion=egy,23065 km 2,http://blocgame.com/stats.php?id=59113,Untapped,,,
New Pork Land,Porky Mitch,http://blocgame.com/alliancestats.php?allianceid=1595,117k active personnel,1 ships,Vietnam War surplus,3 factories,Good,last online 19 hours ago,rankings.php?subregion=ind,The High Council,$2569 million,alliancestats.php?allianceid=1595,East Indies,Large,http://blocgame.com/rankings.php?subregion=ind,42073 km 2,http://blocgame.com/stats.php?id=59525,Untapped,3 Tons,,
Sprug,ShaqAttaq,http://blocgame.com/alliancestats.php?allianceid=1393,8k active personnel,0 ships,Second World War surplus,2 factories,Undisciplined Rabble,last online 105 hours ago,rankings.php?subregion=atl,BAMF,$2592 million,alliancestats.php?allianceid=1393,Atlas,Meagre,http://blocgame.com/rankings.php?subregion=atl,5962 km 2,http://blocgame.com/stats.php?id=55463,Untapped,,,
Schutzstaffel,seigE,,6k active personnel,-1 ships,Second World War surplus,2 factories,Poor,last online 181 hours ago,rankings.php?subregion=gui,,$2514 million,,Guinea,Meagre,http://blocgame.com/rankings.php?subregion=gui,16594 km 2,http://blocgame.com/stats.php?id=57681,Untapped,,,
Gallifrey,The Doctor,http://blocgame.com/alliancestats.php?allianceid=1580,22k active personnel,0 ships,Second World War surplus,3 factories,Elite,last online 22 hours ago,rankings.php?subregion=con,Brotherhood of Nod,$2562 million,alliancestats.php?allianceid=1580,Southern Cone,None,http://blocgame.com/rankings.php?subregion=con,13460 km 2,http://blocgame.com/stats.php?id=40351,Untapped,1 Tons,,
Agoristan,60E1CluBSteP127,http://blocgame.com/alliancestats.php?allianceid=1595,147k active personnel,15 ships,Korean War surplus,4 factories,Poor,last online 74 hours ago,rankings.php?subregion=mes,The High Council,$2532 million,alliancestats.php?allianceid=1595,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,11976 km 2,http://blocgame.com/stats.php?id=54943,Untapped,,7339 Mbbl,
Ralu,Ramar,http://blocgame.com/alliancestats.php?allianceid=1595,4k active personnel,3 ships,Second World War surplus,2 factories,Elite,last online 23 hours ago,rankings.php?subregion=ama,The High Council,$2544 million,alliancestats.php?allianceid=1595,Amazonia,Small,http://blocgame.com/rankings.php?subregion=ama,41172 km 2,http://blocgame.com/stats.php?id=59527,,,2 Mbbl,
Esmair,muffjin,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,33 ships,Almost Modern,4 factories,Good,last online 16 hours ago,rankings.php?subregion=sea,BAMF,$2493 million,alliancestats.php?allianceid=1393,Indochina,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,34026 km 2,http://blocgame.com/stats.php?id=40882,Untapped,,168 Mbbl,
Boletaria,Geralt Dayne,http://blocgame.com/alliancestats.php?allianceid=1644,74k active personnel,11 ships,Vietnam War surplus,5 factories,Good,last online 11 hours ago,rankings.php?subregion=chi,Inter/pol/,$2471 million,alliancestats.php?allianceid=1644,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31993 km 2,http://blocgame.com/stats.php?id=56664,Untapped,,,
Romanovia,Dmitry Romanov,http://blocgame.com/alliancestats.php?allianceid=1393,100k active personnel,5 ships,Second World War surplus,3 factories,Standard,last online 26 hours ago,rankings.php?subregion=mes,BAMF,$2484 million,alliancestats.php?allianceid=1393,Mesopotamia,Mediocre,http://blocgame.com/rankings.php?subregion=mes,26147 km 2,http://blocgame.com/stats.php?id=59571,Untapped,,,
Leoniaal,Depar,http://blocgame.com/alliancestats.php?allianceid=1835,41k active personnel,7 ships,Second World War surplus,4 factories,Elite,last online 9 hours ago,rankings.php?subregion=ara,SPQR,$2492 million,alliancestats.php?allianceid=1835,Arabia,Large,http://blocgame.com/rankings.php?subregion=ara,24212 km 2,http://blocgame.com/stats.php?id=59619,Untapped,,5965 Mbbl,
Homo Mono,Homo Mono,http://blocgame.com/alliancestats.php?allianceid=1580,120k active personnel,3 ships,Second World War surplus,4 factories,Standard,last online 17 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$2434 million,alliancestats.php?allianceid=1580,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,26084 km 2,http://blocgame.com/stats.php?id=59108,Untapped,,,
Seattle,supercurt37,http://blocgame.com/alliancestats.php?allianceid=1820,30k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 119 hours ago,rankings.php?subregion=chi,Mojave Wanderers,$2396 million,alliancestats.php?allianceid=1820,China,Somewhat Large,http://blocgame.com/rankings.php?subregion=chi,12110 km 2,http://blocgame.com/stats.php?id=57842,Untapped,,,
Mobville,The_Director,http://blocgame.com/alliancestats.php?allianceid=1866,5k active personnel,0 ships,First World War surplus,3 factories,Standard,last online 127 hours ago,rankings.php?subregion=car,The Autocratic Union,$2448 million,alliancestats.php?allianceid=1866,Caribbean,Meagre,http://blocgame.com/rankings.php?subregion=car,19196 km 2,http://blocgame.com/stats.php?id=59557,Untapped,,,
Sugartopia,Lapis Lazuli,http://blocgame.com/alliancestats.php?allianceid=1382,44k active personnel,0 ships,Korean War surplus,2 factories,Elite,last online 2 hours ago,rankings.php?subregion=sea,Non-Aligned Movement,$2441 million,alliancestats.php?allianceid=1382,Indochina,Large,http://blocgame.com/rankings.php?subregion=sea,23990 km 2,http://blocgame.com/stats.php?id=58876,Untapped,,172 Mbbl,
Bantloa,Caelan,http://blocgame.com/alliancestats.php?allianceid=1857,10k active personnel,0 ships,First World War surplus,1 factory,Good,last online 1 hours ago,rankings.php?subregion=waf,United Alliance,$2391 million,alliancestats.php?allianceid=1857,West Africa,None,http://blocgame.com/rankings.php?subregion=waf,17667 km 2,http://blocgame.com/stats.php?id=59574,Depleted,,1119 Mbbl,
The Leaf,DonaldTremp,http://blocgame.com/alliancestats.php?allianceid=1826,28k active personnel,4 ships,Second World War surplus,2 factories,Elite,last online 4 hours ago,rankings.php?subregion=ara,THE REGGIES,$2429 million,alliancestats.php?allianceid=1826,Arabia,Somewhat Large,http://blocgame.com/rankings.php?subregion=ara,11917 km 2,http://blocgame.com/stats.php?id=59290,,,,
FallenTrees,GhostAleII,http://blocgame.com/alliancestats.php?allianceid=1382,48k active personnel,2 ships,Second World War surplus,2 factories,Poor,last online 8 hours ago,rankings.php?subregion=ind,Non-Aligned Movement,$2422 million,alliancestats.php?allianceid=1382,East Indies,Large,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=59160,Untapped,,,
Arabic Union,Comrade Izy,http://blocgame.com/alliancestats.php?allianceid=1835,92k active personnel,1 ships,Second World War surplus,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,SPQR,$2370 million,alliancestats.php?allianceid=1835,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,40245 km 2,http://blocgame.com/stats.php?id=59855,Plentiful,,,
Cordova,SmoothJ,http://blocgame.com/alliancestats.php?allianceid=1791,7k active personnel,4 ships,Korean War surplus,2 factories,Undisciplined Rabble,last online 158 hours ago,rankings.php?subregion=pac,IDA,$1921 million,alliancestats.php?allianceid=1791,Pacific Rim,Large,http://blocgame.com/rankings.php?subregion=pac,10060 km 2,http://blocgame.com/stats.php?id=58581,Untapped,,,
Dogenation,dodgingdoge,http://blocgame.com/alliancestats.php?allianceid=1826,7k active personnel,4 ships,Second World War surplus,2 factories,Undisciplined Rabble,last online 6 hours ago,rankings.php?subregion=per,THE REGGIES,$2302 million,alliancestats.php?allianceid=1826,Persia,None,http://blocgame.com/rankings.php?subregion=per,7558 km 2,http://blocgame.com/stats.php?id=59174,,,2621 Mbbl,
Horgrif,roxim teaga,http://blocgame.com/alliancestats.php?allianceid=1568,70k active personnel,0 ships,Korean War surplus,3 factories,Standard,last online 5 hours ago,rankings.php?subregion=ama,Brotherhood of Zion,$2331 million,alliancestats.php?allianceid=1568,Amazonia,Somewhat Large,http://blocgame.com/rankings.php?subregion=ama,24126 km 2,http://blocgame.com/stats.php?id=55571,Untapped,,,
al-Bahrayn,dbdb,http://blocgame.com/alliancestats.php?allianceid=1835,14k active personnel,3 ships,Second World War surplus,3 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,SPQR,$2344 million,alliancestats.php?allianceid=1835,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,24775 km 2,http://blocgame.com/stats.php?id=59775,Depleted,,,
Umen,Sheih Bahar Radzinow,http://blocgame.com/alliancestats.php?allianceid=1595,80k active personnel,6 ships,Second World War surplus,2 factories,Standard,last online 21 hours ago,rankings.php?subregion=egy,The High Council,$2313 million,alliancestats.php?allianceid=1595,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,28858 km 2,http://blocgame.com/stats.php?id=59300,Untapped,,,
Lorenzo,Gherman Titov,,7k active personnel,0 ships,Korean War surplus,2 factories,Standard,last online 34 hours ago,rankings.php?subregion=egy,,$2270 million,,Egypt,Small,http://blocgame.com/rankings.php?subregion=egy,9661 km 2,http://blocgame.com/stats.php?id=59158,Untapped,,,
VAULT 111,Liam_OC_27,http://blocgame.com/alliancestats.php?allianceid=1791,3k active personnel,7 ships,Korean War surplus,3 factories,Good,last online 143 hours ago,rankings.php?subregion=chi,IDA,$2261 million,alliancestats.php?allianceid=1791,China,None,http://blocgame.com/rankings.php?subregion=chi,11549 km 2,http://blocgame.com/stats.php?id=57063,Untapped,,,
Fury Road,Immortan Joe,http://blocgame.com/alliancestats.php?allianceid=1393,47k active personnel,20 ships,Korean War surplus,7 factories,Elite,last online 22 hours ago,rankings.php?subregion=ara,BAMF,$2256 million,alliancestats.php?allianceid=1393,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,30865 km 2,http://blocgame.com/stats.php?id=58541,Untapped,,8301 Mbbl,
Azarious,Emperour Supremus,http://blocgame.com/alliancestats.php?allianceid=1835,72k active personnel,7 ships,First World War surplus,4 factories,Elite,last online 4 hours ago,rankings.php?subregion=egy,SPQR,$2300 million,alliancestats.php?allianceid=1835,Egypt,Large,http://blocgame.com/rankings.php?subregion=egy,41158 km 2,http://blocgame.com/stats.php?id=59679,,,18967 Mbbl,
Chickenbake,Chickenbake_2.0,http://blocgame.com/alliancestats.php?allianceid=1580,78k active personnel,3 ships,First World War surplus,3 factories,Elite,last online 14 hours ago,rankings.php?subregion=sea,Brotherhood of Nod,$2242 million,alliancestats.php?allianceid=1580,Indochina,Mediocre,http://blocgame.com/rankings.php?subregion=sea,47714 km 2,http://blocgame.com/stats.php?id=60085,Untapped,,,
EatMyButtonia,ZeLord,http://blocgame.com/alliancestats.php?allianceid=1827,8k active personnel,2 ships,Second World War surplus,3 factories,Good,last online 65 hours ago,rankings.php?subregion=mes,UAA,$2260 million,alliancestats.php?allianceid=1827,Mesopotamia,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,9536 km 2,http://blocgame.com/stats.php?id=59299,Untapped,,2227 Mbbl,
Third,Third Base,http://blocgame.com/alliancestats.php?allianceid=1600,9k active personnel,0 ships,Korean War surplus,None,Standard,last online 28 hours ago,rankings.php?subregion=chi,Nazi,$2222 million,alliancestats.php?allianceid=1600,China,Meagre,http://blocgame.com/rankings.php?subregion=chi,16735 km 2,http://blocgame.com/stats.php?id=57271,Untapped,,,
deztructions,ikillsthepussy,http://blocgame.com/alliancestats.php?allianceid=1595,6k active personnel,0 ships,Second World War surplus,3 factories,Undisciplined Rabble,last online 2 hours ago,rankings.php?subregion=chi,The High Council,$2180 million,alliancestats.php?allianceid=1595,China,Large,http://blocgame.com/rankings.php?subregion=chi,21834 km 2,http://blocgame.com/stats.php?id=58597,Plentiful,,,
Iramerica,general_pooya,,14k active personnel,0 ships,First World War surplus,2 factories,Good,last online 19 hours ago,rankings.php?subregion=per,,$2137 million,,Persia,Mediocre,http://blocgame.com/rankings.php?subregion=per,19602 km 2,http://blocgame.com/stats.php?id=59804,Untapped,,12816 Mbbl,
Burma,Wyatt McCc,http://blocgame.com/alliancestats.php?allianceid=1401,60k active personnel,2 ships,Korean War surplus,4 factories,Elite,last online 45 hours ago,rankings.php?subregion=ind,The Federal Colonies,$2123 million,alliancestats.php?allianceid=1401,East Indies,Mediocre,http://blocgame.com/rankings.php?subregion=ind,20130 km 2,http://blocgame.com/stats.php?id=56151,Untapped,,,
MightyDuckistan,Reginald D. Capote,http://blocgame.com/alliancestats.php?allianceid=1756,94k active personnel,6 ships,Korean War surplus,2 factories,Elite,last online 9 hours ago,rankings.php?subregion=gui,The Golden Company,$2072 million,alliancestats.php?allianceid=1756,Guinea,Large,http://blocgame.com/rankings.php?subregion=gui,12985 km 2,http://blocgame.com/stats.php?id=57447,Untapped,,219 Mbbl,
Liam Neeson,Peter Griffin,http://blocgame.com/alliancestats.php?allianceid=1835,76k active personnel,8 ships,Second World War surplus,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=ara,SPQR,$2121 million,alliancestats.php?allianceid=1835,Arabia,Powerful,http://blocgame.com/rankings.php?subregion=ara,31816 km 2,http://blocgame.com/stats.php?id=59550,Plentiful,,4199 Mbbl,
Cebrene,Ares,http://blocgame.com/alliancestats.php?allianceid=1580,0k active personnel,0 ships,Second World War surplus,None,Undisciplined Rabble,last online 22 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,$2077 million,alliancestats.php?allianceid=1580,Egypt,Meagre,http://blocgame.com/rankings.php?subregion=egy,5254 km 2,http://blocgame.com/stats.php?id=50488,Untapped,,,
Kalashnicovia,Big Richard,http://blocgame.com/alliancestats.php?allianceid=1682,8k active personnel,3 ships,Second World War surplus,3 factories,Elite,last online 45 hours ago,rankings.php?subregion=atl,S.T.A.L.K.E.R.,$2081 million,alliancestats.php?allianceid=1682,Atlas,Large,http://blocgame.com/rankings.php?subregion=atl,10317 km 2,http://blocgame.com/stats.php?id=57728,Untapped,,,
FIFA,Seff Blatter,http://blocgame.com/alliancestats.php?allianceid=1580,156k active personnel,14 ships,Vietnam War surplus,5 factories,Good,last online 169 hours ago,rankings.php?subregion=ama,Brotherhood of Nod,$2047 million,alliancestats.php?allianceid=1580,Amazonia,Powerful,http://blocgame.com/rankings.php?subregion=ama,44448 km 2,http://blocgame.com/stats.php?id=56829,Untapped,,,
qwertyuiop,rumsods mom,http://blocgame.com/alliancestats.php?allianceid=1644,72k active personnel,0 ships,First World War surplus,2 factories,Good,last online 2 hours ago,rankings.php?subregion=ara,Inter/pol/,$2060 million,alliancestats.php?allianceid=1644,Arabia,None,http://blocgame.com/rankings.php?subregion=ara,12418 km 2,http://blocgame.com/stats.php?id=59451,Near Depletion,,,
Ultios,Noctis,http://blocgame.com/alliancestats.php?allianceid=1875,7k active personnel,0 ships,Second World War surplus,3 factories,Good,online now,rankings.php?subregion=pac,The Triad,$2083 million,alliancestats.php?allianceid=1875,Pacific Rim,Somewhat Large,http://blocgame.com/rankings.php?subregion=pac,42990 km 2,http://blocgame.com/stats.php?id=59917,Plentiful,,1058 Mbbl,
Geli Kurd,Rando,http://blocgame.com/alliancestats.php?allianceid=1568,132k active personnel,8 ships,Persian Gulf War surplus,5 factories,Good,last online 46 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$2056 million,alliancestats.php?allianceid=1568,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,79838 km 2,http://blocgame.com/stats.php?id=47768,Untapped,,,
Cartenesia,hexagon,,9k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 30 hours ago,rankings.php?subregion=pac,,$2083 million,,Pacific Rim,Mediocre,http://blocgame.com/rankings.php?subregion=pac,6625 km 2,http://blocgame.com/stats.php?id=58994,Untapped,,4 Mbbl,
Fanding,Flingflan,http://blocgame.com/alliancestats.php?allianceid=1595,34k active personnel,5 ships,Second World War surplus,3 factories,Elite,online now,rankings.php?subregion=per,The High Council,$2047 million,alliancestats.php?allianceid=1595,Persia,Large,http://blocgame.com/rankings.php?subregion=per,14965 km 2,http://blocgame.com/stats.php?id=59415,Untapped,,3455 Mbbl,
Great Manasa,Haus Omana,http://blocgame.com/alliancestats.php?allianceid=1644,28k active personnel,4 ships,Second World War surplus,2 factories,Good,last online 22 hours ago,rankings.php?subregion=mes,Inter/pol/,$2039 million,alliancestats.php?allianceid=1644,Mesopotamia,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,16499 km 2,http://blocgame.com/stats.php?id=58697,Untapped,,3495 Mbbl,
Galilee,lover of joy,,5k active personnel,3 ships,Korean War surplus,2 factories,Elite,last online 102 hours ago,rankings.php?subregion=mex,,$1948 million,,Mesoamerica,None,http://blocgame.com/rankings.php?subregion=mex,15604 km 2,http://blocgame.com/stats.php?id=58944,Untapped,,,
Trump Iraq,President Trumparino,http://blocgame.com/alliancestats.php?allianceid=1835,35k active personnel,2 ships,Second World War surplus,3 factories,Elite,last online 71 hours ago,rankings.php?subregion=mes,SPQR,$1968 million,alliancestats.php?allianceid=1835,Mesopotamia,Mediocre,http://blocgame.com/rankings.php?subregion=mes,22002 km 2,http://blocgame.com/stats.php?id=59195,Plentiful,,8253 Mbbl,5%
yeeeet,yoloswaggins,http://blocgame.com/alliancestats.php?allianceid=1835,28k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 23 hours ago,rankings.php?subregion=egy,SPQR,$1974 million,alliancestats.php?allianceid=1835,Egypt,Large,http://blocgame.com/rankings.php?subregion=egy,28558 km 2,http://blocgame.com/stats.php?id=59818,Untapped,,,
Meden,mexander,http://blocgame.com/alliancestats.php?allianceid=1595,81k active personnel,2 ships,Second World War surplus,4 factories,Good,last online 7 hours ago,rankings.php?subregion=congo,The High Council,$1962 million,alliancestats.php?allianceid=1595,Congo,Somewhat Large,http://blocgame.com/rankings.php?subregion=congo,29040 km 2,http://blocgame.com/stats.php?id=41774,,,,
Lorigan,Lorigan,http://blocgame.com/alliancestats.php?allianceid=1595,39k active personnel,1 ships,First World War surplus,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=ama,The High Council,$1961 million,alliancestats.php?allianceid=1595,Amazonia,Small,http://blocgame.com/rankings.php?subregion=ama,20071 km 2,http://blocgame.com/stats.php?id=59787,Plentiful,,,
Syraan,Desus,http://blocgame.com/alliancestats.php?allianceid=1835,30k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=egy,SPQR,$1955 million,alliancestats.php?allianceid=1835,Egypt,Large,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=59870,Untapped,,,
SingSong,Anthem La La,http://blocgame.com/alliancestats.php?allianceid=1644,92k active personnel,5 ships,Second World War surplus,3 factories,Elite,online now,rankings.php?subregion=pac,Inter/pol/,$1931 million,alliancestats.php?allianceid=1644,Pacific Rim,Large,http://blocgame.com/rankings.php?subregion=pac,27215 km 2,http://blocgame.com/stats.php?id=59602,Untapped,,,5%
Malacau,inth0x,,8k active personnel,0 ships,First World War surplus,2 factories,Standard,last online 54 hours ago,rankings.php?subregion=sea,,$1863 million,,Indochina,None,http://blocgame.com/rankings.php?subregion=sea,10300 km 2,http://blocgame.com/stats.php?id=59315,,,,
Drache,Darkflare,,8k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 106 hours ago,rankings.php?subregion=gui,,$1897 million,,Guinea,Meagre,http://blocgame.com/rankings.php?subregion=gui,5180 km 2,http://blocgame.com/stats.php?id=51470,Untapped,,,
Cimmeria,Vladamiur,http://blocgame.com/alliancestats.php?allianceid=1835,40k active personnel,4 ships,Second World War surplus,2 factories,Good,last online 3 hours ago,rankings.php?subregion=mes,SPQR,$1900 million,alliancestats.php?allianceid=1835,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,13159 km 2,http://blocgame.com/stats.php?id=59769,Untapped,,,
Gringolandia,The Morally Superior: II,http://blocgame.com/alliancestats.php?allianceid=1393,6k active personnel,0 ships,Finest of the 19th century,3 factories,Undisciplined Rabble,last online 8 hours ago,rankings.php?subregion=gra,BAMF,$1840 million,alliancestats.php?allianceid=1393,Gran Colombia,None,http://blocgame.com/rankings.php?subregion=gra,12542 km 2,http://blocgame.com/stats.php?id=57106,Untapped,,,
islamisbad,kattwilliams,http://blocgame.com/alliancestats.php?allianceid=1580,6k active personnel,1 ships,Second World War surplus,3 factories,Undisciplined Rabble,last online 2 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$1868 million,alliancestats.php?allianceid=1580,Persia,Large,http://blocgame.com/rankings.php?subregion=per,30804 km 2,http://blocgame.com/stats.php?id=59233,Plentiful,,3463 Mbbl,
New Volkstaat,Endless Nameless,http://blocgame.com/alliancestats.php?allianceid=1644,38k active personnel,3 ships,Second World War surplus,2 factories,Elite,last online 23 hours ago,rankings.php?subregion=saf,Inter/pol/,$1842 million,alliancestats.php?allianceid=1644,Southern Africa,Powerful,http://blocgame.com/rankings.php?subregion=saf,13327 km 2,http://blocgame.com/stats.php?id=59576,Untapped,,,
Aminia,WashNats,http://blocgame.com/alliancestats.php?allianceid=1644,77k active personnel,4 ships,Second World War surplus,2 factories,Good,last online 16 hours ago,rankings.php?subregion=car,Inter/pol/,$1781 million,alliancestats.php?allianceid=1644,Caribbean,Large,http://blocgame.com/rankings.php?subregion=car,44652 km 2,http://blocgame.com/stats.php?id=59913,Untapped,,440 Mbbl,
malthias,mikkoku,,1k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 70 hours ago,rankings.php?subregion=pac,,$1804 million,,Pacific Rim,Meagre,http://blocgame.com/rankings.php?subregion=pac,9175 km 2,http://blocgame.com/stats.php?id=59201,Untapped,,,
Derpkins,Mr. Derp,http://blocgame.com/alliancestats.php?allianceid=1835,42k active personnel,1 ships,Second World War surplus,3 factories,Standard,last online 5 hours ago,rankings.php?subregion=pac,SPQR,$1761 million,alliancestats.php?allianceid=1835,Pacific Rim,Powerful,http://blocgame.com/rankings.php?subregion=pac,15354 km 2,http://blocgame.com/stats.php?id=59737,Plentiful,,,
Magna Bonom,Krull,http://blocgame.com/alliancestats.php?allianceid=1580,116k active personnel,10 ships,Korean War surplus,4 factories,Elite,last online 10 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,$1696 million,alliancestats.php?allianceid=1580,Egypt,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,38520 km 2,http://blocgame.com/stats.php?id=59435,Untapped,,,
crump,dowgamere,http://blocgame.com/alliancestats.php?allianceid=1820,5k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 164 hours ago,rankings.php?subregion=mes,Mojave Wanderers,$1748 million,alliancestats.php?allianceid=1820,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,22364 km 2,http://blocgame.com/stats.php?id=59193,Untapped,,,
Butt Munch Land,Butt Munch,,2k active personnel,0 ships,Second World War surplus,1 factory,Good,last online 23 hours ago,rankings.php?subregion=mex,,$1744 million,,Mesoamerica,Powerful,http://blocgame.com/rankings.php?subregion=mex,17533 km 2,http://blocgame.com/stats.php?id=58540,Untapped,,,
Deutsch Afrika,Gustav von Karlsruhe,http://blocgame.com/alliancestats.php?allianceid=1393,92k active personnel,0 ships,Second World War surplus,2 factories,Poor,last online 143 hours ago,rankings.php?subregion=gui,BAMF,$1683 million,alliancestats.php?allianceid=1393,Guinea,Powerful,http://blocgame.com/rankings.php?subregion=gui,37638 km 2,http://blocgame.com/stats.php?id=3873,Untapped,1 Tons,,
Hamshiretonland,Lord Hamshiretonburrough,http://blocgame.com/alliancestats.php?allianceid=1580,95k active personnel,4 ships,Vietnam War surplus,4 factories,Standard,online now,rankings.php?subregion=congo,Brotherhood of Nod,$1703 million,alliancestats.php?allianceid=1580,Congo,Very Powerful,http://blocgame.com/rankings.php?subregion=congo,24870 km 2,http://blocgame.com/stats.php?id=58470,Plentiful,1 Tons,,
Cypentia,Drudric,http://blocgame.com/alliancestats.php?allianceid=1889,6k active personnel,3 ships,First World War surplus,2 factories,Elite,last online 6 hours ago,rankings.php?subregion=pac,DOOP,$1697 million,alliancestats.php?allianceid=1889,Pacific Rim,Small,http://blocgame.com/rankings.php?subregion=pac,16406 km 2,http://blocgame.com/stats.php?id=59796,Near Depletion,,,
Cumbag,Ginger_Ale70-1,http://blocgame.com/alliancestats.php?allianceid=1835,55k active personnel,0 ships,Second World War surplus,1 factory,Poor,last online 8 hours ago,rankings.php?subregion=ara,SPQR,$1709 million,alliancestats.php?allianceid=1835,Arabia,Large,http://blocgame.com/rankings.php?subregion=ara,13209 km 2,http://blocgame.com/stats.php?id=59123,,,5722 Mbbl,
Gora,Gora,http://blocgame.com/alliancestats.php?allianceid=1580,26k active personnel,0 ships,Korean War surplus,2 factories,Undisciplined Rabble,last online 19 hours ago,rankings.php?subregion=sub,Brotherhood of Nod,$1672 million,alliancestats.php?allianceid=1580,The Subcontinent,None,http://blocgame.com/rankings.php?subregion=sub,2776 km 2,http://blocgame.com/stats.php?id=54886,,,,
Darkstone,Trakel,http://blocgame.com/alliancestats.php?allianceid=1393,222k active personnel,6 ships,Almost Modern,11 factories,Good,last online 4 hours ago,rankings.php?subregion=pac,BAMF,$1661 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,83119 km 2,http://blocgame.com/stats.php?id=57176,Untapped,,,
Munchiopolis,Ginger_Ale69xxx,http://blocgame.com/alliancestats.php?allianceid=1756,66k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 9 hours ago,rankings.php?subregion=car,The Golden Company,$1675 million,alliancestats.php?allianceid=1756,Caribbean,Large,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=58992,Untapped,,737 Mbbl,
Cancer,Stolen,http://blocgame.com/alliancestats.php?allianceid=1393,9k active personnel,0 ships,First World War surplus,2 factories,Undisciplined Rabble,last online 37 hours ago,rankings.php?subregion=per,BAMF,$1692 million,alliancestats.php?allianceid=1393,Persia,Meagre,http://blocgame.com/rankings.php?subregion=per,11459 km 2,http://blocgame.com/stats.php?id=58745,Untapped,,,
Boravia,bora,,14k active personnel,0 ships,Second World War surplus,2 factories,Undisciplined Rabble,last online 19 hours ago,rankings.php?subregion=egy,,$1665 million,,Egypt,Meagre,http://blocgame.com/rankings.php?subregion=egy,4281 km 2,http://blocgame.com/stats.php?id=54936,Plentiful,,1790 Mbbl,
New Nederlands,William Mohamad,http://blocgame.com/alliancestats.php?allianceid=1568,78k active personnel,4 ships,Second World War surplus,3 factories,Good,last online 2 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$1617 million,alliancestats.php?allianceid=1568,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,38025 km 2,http://blocgame.com/stats.php?id=59454,Untapped,1 Tons,,
Polaria,Raiden,,5k active personnel,0 ships,Second World War surplus,1 factory,Undisciplined Rabble,last online 40 hours ago,rankings.php?subregion=mes,,$1604 million,,Mesopotamia,Large,http://blocgame.com/rankings.php?subregion=mes,8554 km 2,http://blocgame.com/stats.php?id=59261,Untapped,,,
Glanvillia,Mr. James,http://blocgame.com/alliancestats.php?allianceid=1595,51k active personnel,0 ships,First World War surplus,2 factories,Good,last online 8 hours ago,rankings.php?subregion=car,The High Council,$1655 million,alliancestats.php?allianceid=1595,Caribbean,Mediocre,http://blocgame.com/rankings.php?subregion=car,16500 km 2,http://blocgame.com/stats.php?id=59694,Plentiful,,93 Mbbl,
