country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
Biji Kurdistan,Myron2point0,http://blocgame.com/alliancestats.php?allianceid=1580,227k active personnel,40 ships,Persian Gulf War surplus,10 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$15476 million,alliancestats.php?allianceid=1580,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,64978 km 2,http://blocgame.com/stats.php?id=52906,Plentiful,,67 Mbbl,
Deponia,PYZILEND,http://blocgame.com/alliancestats.php?allianceid=1393,236k active personnel,28 ships,Persian Gulf War surplus,11 factories,Standard,last online 2 hours ago,rankings.php?subregion=chi,BAMF,$15361 million,alliancestats.php?allianceid=1393,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,41102 km 2,http://blocgame.com/stats.php?id=54760,Untapped,,395 Mbbl,
Vizio,linkbro,http://blocgame.com/alliancestats.php?allianceid=1393,219k active personnel,16 ships,Persian Gulf War surplus,8 factories,Elite,last online 44 hours ago,rankings.php?subregion=ara,BAMF,$15335 million,alliancestats.php?allianceid=1393,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,44239 km 2,http://blocgame.com/stats.php?id=39037,Untapped,,2117 Mbbl,
Al-Petralia,El-Oil,http://blocgame.com/alliancestats.php?allianceid=1393,128k active personnel,33 ships,Persian Gulf War surplus,9 factories,Elite,last online 31 hours ago,rankings.php?subregion=ara,BAMF,$15296 million,alliancestats.php?allianceid=1393,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,34559 km 2,http://blocgame.com/stats.php?id=52484,Untapped,,8120 Mbbl,
durkastan,ned kelly,http://blocgame.com/alliancestats.php?allianceid=1580,191k active personnel,63 ships,Persian Gulf War surplus,22 factories,Elite,last online 2 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$15186 million,alliancestats.php?allianceid=1580,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,123679 km 2,http://blocgame.com/stats.php?id=40488,Untapped,,6264 Mbbl,
Greekrules,General Humphreys,http://blocgame.com/alliancestats.php?allianceid=1393,319k active personnel,51 ships,Persian Gulf War surplus,16 factories,Elite,last online 6 hours ago,rankings.php?subregion=ara,BAMF,$15298 million,alliancestats.php?allianceid=1393,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,85841 km 2,http://blocgame.com/stats.php?id=43351,Untapped,,2752 Mbbl,
New-Rhodesia,Tito Van Ronnk,http://blocgame.com/alliancestats.php?allianceid=1644,191k active personnel,22 ships,Persian Gulf War surplus,7 factories,Elite,last online 14 hours ago,rankings.php?subregion=eaf,Inter/pol/,$15190 million,alliancestats.php?allianceid=1644,East Africa,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,35402 km 2,http://blocgame.com/stats.php?id=49249,Plentiful,1 Tons,,
Pheonix,Shockwave,http://blocgame.com/alliancestats.php?allianceid=1401,194k active personnel,56 ships,Persian Gulf War surplus,12 factories,Good,last online 4 hours ago,rankings.php?subregion=per,The Federal Colonies,$14911 million,alliancestats.php?allianceid=1401,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,37998 km 2,http://blocgame.com/stats.php?id=40311,Untapped,,2267 Mbbl,
See Aye Eh,BillWilson,http://blocgame.com/alliancestats.php?allianceid=1599,330k active personnel,56 ships,Advanced,13 factories,Poor,last online 3 hours ago,rankings.php?subregion=ara,Wreckage brothers,$14865 million,alliancestats.php?allianceid=1599,Arabia,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,40091 km 2,http://blocgame.com/stats.php?id=52844,Untapped,,2660 Mbbl,
Hashashin,moffe,http://blocgame.com/alliancestats.php?allianceid=1644,292k active personnel,44 ships,Advanced,14 factories,Standard,last online 1 hours ago,rankings.php?subregion=per,Inter/pol/,$14694 million,alliancestats.php?allianceid=1644,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,84131 km 2,http://blocgame.com/stats.php?id=54220,Untapped,,,
South Park,cartman,http://blocgame.com/alliancestats.php?allianceid=1835,252k active personnel,51 ships,Persian Gulf War surplus,10 factories,Elite,online now,rankings.php?subregion=car,SPQR,$14649 million,alliancestats.php?allianceid=1835,Caribbean,Very Powerful,http://blocgame.com/rankings.php?subregion=car,51110 km 2,http://blocgame.com/stats.php?id=228,Untapped,,,
Genowia,ThePole,http://blocgame.com/alliancestats.php?allianceid=1393,218k active personnel,28 ships,Persian Gulf War surplus,10 factories,Standard,last online 11 hours ago,rankings.php?subregion=pac,BAMF,$14490 million,alliancestats.php?allianceid=1393,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,48327 km 2,http://blocgame.com/stats.php?id=50839,Untapped,,,
Scavia,nike1155,http://blocgame.com/alliancestats.php?allianceid=1568,196k active personnel,25 ships,Almost Modern,8 factories,Elite,last online 8 hours ago,rankings.php?subregion=con,Brotherhood of Zion,$14082 million,alliancestats.php?allianceid=1568,Southern Cone,Very Powerful,http://blocgame.com/rankings.php?subregion=con,37531 km 2,http://blocgame.com/stats.php?id=52275,,,,
Krakozhia,Ilyich,http://blocgame.com/alliancestats.php?allianceid=1599,150k active personnel,20 ships,Persian Gulf War surplus,9 factories,Standard,last online 1 hours ago,rankings.php?subregion=chi,Wreckage brothers,$14097 million,alliancestats.php?allianceid=1599,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,31809 km 2,http://blocgame.com/stats.php?id=39065,Untapped,,,
Alexandrastan,TWAIN,http://blocgame.com/alliancestats.php?allianceid=1401,234k active personnel,26 ships,Advanced,8 factories,Good,last online 1 hours ago,rankings.php?subregion=mes,The Federal Colonies,$14050 million,alliancestats.php?allianceid=1401,Mesopotamia,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,25694 km 2,http://blocgame.com/stats.php?id=39070,Untapped,,2478 Mbbl,
