country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor
Umbrella corp,Miss. Parks,http://blocgame.com/alliancestats.php?allianceid=1595,106k active personnel,15 ships,Almost Modern,Good,5 factories,Elite,last online 8 hours ago,rankings.php?subregion=chi,The High Council,$6361 million,alliancestats.php?allianceid=1595,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34892 km 2,http://blocgame.com/stats.php?id=54467,,,
Steel Beams,spacebunneh,http://blocgame.com/alliancestats.php?allianceid=1595,66k active personnel,7 ships,Vietnam War surplus,Normal,6 factories,Undisciplined Rabble,last online 34 hours ago,rankings.php?subregion=gra,The High Council,$6360 million,alliancestats.php?allianceid=1595,Gran Colombia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,15283 km 2,http://blocgame.com/stats.php?id=55509,,,
Arizona,Layez,http://blocgame.com/alliancestats.php?allianceid=1393,7k active personnel,7 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 61 hours ago,rankings.php?subregion=mex,BAMF,$6360 million,alliancestats.php?allianceid=1393,Mesoamerica,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=mex,16805 km 2,http://blocgame.com/stats.php?id=56856,,,
Nofuksgiven,Zippy,http://blocgame.com/alliancestats.php?allianceid=1382,151k active personnel,19 ships,Vietnam War surplus,Gandhi-like,6 factories,Elite,last online 7 hours ago,rankings.php?subregion=sea,Non-Aligned Movement,$6289 million,alliancestats.php?allianceid=1382,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,40947 km 2,http://blocgame.com/stats.php?id=58858,,,
Urosia,Lance Moroe,http://blocgame.com/alliancestats.php?allianceid=1644,33k active personnel,13 ships,Almost Modern,Normal,4 factories,Elite,last online 7 hours ago,rankings.php?subregion=saf,Inter/pol/,$6240 million,alliancestats.php?allianceid=1644,Southern Africa,,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,19216 km 2,http://blocgame.com/stats.php?id=57637,,,
Seilomn,Charlie,http://blocgame.com/alliancestats.php?allianceid=1401,145k active personnel,5 ships,Second World War surplus,Gandhi-like,6 factories,Poor,last online 42 hours ago,rankings.php?subregion=gui,The Federal Colonies,$6238 million,alliancestats.php?allianceid=1401,Guinea,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=gui,46490 km 2,http://blocgame.com/stats.php?id=59997,,,
Bruce Man,Bat Wayn,http://blocgame.com/alliancestats.php?allianceid=1393,246k active personnel,6 ships,Almost Modern,Gandhi-like,10 factories,Good,last online 29 hours ago,rankings.php?subregion=ara,BAMF,$6196 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,42976 km 2,http://blocgame.com/stats.php?id=59564,,,
Andalusia,Michaelion,http://blocgame.com/alliancestats.php?allianceid=1393,149k active personnel,11 ships,Second World War surplus,Gandhi-like,6 factories,Elite,last online 35 hours ago,rankings.php?subregion=pac,BAMF,$6084 million,alliancestats.php?allianceid=1393,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,40607 km 2,http://blocgame.com/stats.php?id=46668,323 Mbbl,,5%
Reim,Azrael,http://blocgame.com/alliancestats.php?allianceid=1595,168k active personnel,18 ships,Vietnam War surplus,Gandhi-like,6 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$6064 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,39793 km 2,http://blocgame.com/stats.php?id=41073,,,
king's landing,mannisbaratheon,http://blocgame.com/alliancestats.php?allianceid=1644,139k active personnel,25 ships,Persian Gulf War surplus,Gandhi-like,4 factories,Good,last online 39 hours ago,rankings.php?subregion=sub,Inter/pol/,$6016 million,alliancestats.php?allianceid=1644,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,40168 km 2,http://blocgame.com/stats.php?id=55616,,,
New Nederlands,William Mohamad,http://blocgame.com/alliancestats.php?allianceid=1568,146k active personnel,11 ships,Korean War surplus,Good,5 factories,Good,last online 9 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$5999 million,alliancestats.php?allianceid=1568,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,48144 km 2,http://blocgame.com/stats.php?id=59454,19556 Mbbl,,
Rararaland,Whiskertoes,http://blocgame.com/alliancestats.php?allianceid=1810,5k active personnel,6 ships,Almost Modern,Normal,3 factories,Standard,last online 13 hours ago,rankings.php?subregion=ara,EUN,$5986 million,alliancestats.php?allianceid=1810,Arabia,,Large,http://blocgame.com/rankings.php?subregion=ara,8039 km 2,http://blocgame.com/stats.php?id=49272,,,
Derpkins,Mr. Derp,http://blocgame.com/alliancestats.php?allianceid=1952,22k active personnel,12 ships,Second World War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 88 hours ago,rankings.php?subregion=pac,The Eastern Sea,$5773 million,alliancestats.php?allianceid=1952,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,23183 km 2,http://blocgame.com/stats.php?id=59737,,,
DynamicMemes,mememan69,http://blocgame.com/alliancestats.php?allianceid=1580,158k active personnel,24 ships,Vietnam War surplus,Gandhi-like,5 factories,Elite,last online 41 hours ago,rankings.php?subregion=saf,Brotherhood of Nod,$5761 million,alliancestats.php?allianceid=1580,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,25710 km 2,http://blocgame.com/stats.php?id=57005,,,5%
The Wired,LAIN,http://blocgame.com/alliancestats.php?allianceid=1599,357k active personnel,20 ships,Advanced,Gandhi-like,14 factories,Good,last online 43 hours ago,rankings.php?subregion=ara,Wreckage brothers,$5750 million,alliancestats.php?allianceid=1599,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,61784 km 2,http://blocgame.com/stats.php?id=53298,,,5%
Dragon Stone,Mannis,http://blocgame.com/alliancestats.php?allianceid=1644,189k active personnel,23 ships,Almost Modern,Gandhi-like,7 factories,Elite,last online 39 hours ago,rankings.php?subregion=sub,Inter/pol/,$5677 million,alliancestats.php?allianceid=1644,The Subcontinent,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sub,31085 km 2,http://blocgame.com/stats.php?id=54852,,,
Kindred,Pendraggon,http://blocgame.com/alliancestats.php?allianceid=1644,207k active personnel,12 ships,Vietnam War surplus,Gandhi-like,9 factories,Good,online now,rankings.php?subregion=pac,Inter/pol/,$5667 million,alliancestats.php?allianceid=1644,Pacific Rim,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=pac,54201 km 2,http://blocgame.com/stats.php?id=58449,,,
Gīlān,Kuchik Gul,http://blocgame.com/alliancestats.php?allianceid=1704,126k active personnel,-1 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 12 hours ago,rankings.php?subregion=per,Kekolutionaries,$5593 million,alliancestats.php?allianceid=1704,Persia,,Mediocre,http://blocgame.com/rankings.php?subregion=per,2261 km 2,http://blocgame.com/stats.php?id=54430,1708 Mbbl,,
Parz,Charles8,http://blocgame.com/alliancestats.php?allianceid=1595,46k active personnel,4 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 1 hours ago,rankings.php?subregion=mes,The High Council,$5583 million,alliancestats.php?allianceid=1595,Mesopotamia,Near Depletion,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,31287 km 2,http://blocgame.com/stats.php?id=59868,,,
New Volkstaat,Endless Nameless,http://blocgame.com/alliancestats.php?allianceid=1644,93k active personnel,5 ships,Vietnam War surplus,Gandhi-like,5 factories,Elite,last online 6 hours ago,rankings.php?subregion=saf,Inter/pol/,$5570 million,alliancestats.php?allianceid=1644,Southern Africa,,Large,http://blocgame.com/rankings.php?subregion=saf,18292 km 2,http://blocgame.com/stats.php?id=59576,,,
The,metalmallowz,http://blocgame.com/alliancestats.php?allianceid=1382,370k active personnel,32 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,Non-Aligned Movement,$5569 million,alliancestats.php?allianceid=1382,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,100286 km 2,http://blocgame.com/stats.php?id=58004,,,
Adrianopolis,XAdrianT,http://blocgame.com/alliancestats.php?allianceid=1568,203k active personnel,12 ships,Persian Gulf War surplus,Gandhi-like,16 factories,Good,last online 5 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,$5563 million,alliancestats.php?allianceid=1568,Arabia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,78527 km 2,http://blocgame.com/stats.php?id=55912,,,5%
Taggart,Dagny,http://blocgame.com/alliancestats.php?allianceid=1401,110k active personnel,6 ships,Almost Modern,Gandhi-like,7 factories,Elite,last online 5 hours ago,rankings.php?subregion=gui,The Federal Colonies,$5560 million,alliancestats.php?allianceid=1401,Guinea,,Somewhat Large,http://blocgame.com/rankings.php?subregion=gui,53943 km 2,http://blocgame.com/stats.php?id=59387,,,
Waiwud Iwanem,Hasaki Enkou,http://blocgame.com/alliancestats.php?allianceid=1899,148k active personnel,7 ships,Persian Gulf War surplus,Gandhi-like,7 factories,Standard,last online 12 hours ago,rankings.php?subregion=ind,Aseang MMP,$5542 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,23498 km 2,http://blocgame.com/stats.php?id=54484,,,
Rattown,Furfag Commanding,http://blocgame.com/alliancestats.php?allianceid=1393,398k active personnel,54 ships,Advanced,Angelic,15 factories,Standard,online now,rankings.php?subregion=mes,BAMF,$5525 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,88283 km 2,http://blocgame.com/stats.php?id=39062,,22 Tons,
Yummy Foods,iiruka,http://blocgame.com/alliancestats.php?allianceid=1382,359k active personnel,51 ships,Advanced,Gandhi-like,18 factories,Elite,last online 7 hours ago,rankings.php?subregion=pac,Non-Aligned Movement,$5491 million,alliancestats.php?allianceid=1382,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,123626 km 2,http://blocgame.com/stats.php?id=54376,,,
Homo Mono,Homo Mono,http://blocgame.com/alliancestats.php?allianceid=1580,134k active personnel,12 ships,Korean War surplus,Gandhi-like,6 factories,Good,last online 18 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$5469 million,alliancestats.php?allianceid=1580,Arabia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ara,36094 km 2,http://blocgame.com/stats.php?id=59108,7468 Mbbl,,
Snusers,Snuupy,http://blocgame.com/alliancestats.php?allianceid=1393,240k active personnel,8 ships,Almost Modern,Isolated,18 factories,Good,online now,rankings.php?subregion=chi,BAMF,$5427 million,alliancestats.php?allianceid=1393,China,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,108956 km 2,http://blocgame.com/stats.php?id=58336,,,
Arabic Union,Comrade Izy,http://blocgame.com/alliancestats.php?allianceid=1393,13k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Elite,last online 14 hours ago,rankings.php?subregion=mes,BAMF,$5414 million,alliancestats.php?allianceid=1393,Mesopotamia,Untapped,Large,http://blocgame.com/rankings.php?subregion=mes,36169 km 2,http://blocgame.com/stats.php?id=59855,4457 Mbbl,,
One Star,Neku,http://blocgame.com/alliancestats.php?allianceid=1595,138k active personnel,10 ships,Vietnam War surplus,Gandhi-like,6 factories,Elite,online now,rankings.php?subregion=per,The High Council,$5395 million,alliancestats.php?allianceid=1595,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,39160 km 2,http://blocgame.com/stats.php?id=57783,,,
