country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Marockesh,Maroc 86,,5k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 164 hours ago,rankings.php?subregion=atl,,$563 million,,Atlas,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=atl,19550 km 2,http://blocgame.com/stats.php?id=60027,,,
Gavrastan,Mrazomor,,13k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 21 hours ago,rankings.php?subregion=per,,$546 million,,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,19602 km 2,http://blocgame.com/stats.php?id=60162,,,
Classia,Classic,http://blocgame.com/alliancestats.php?allianceid=1595,3k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=atl,The High Council,$540 million,alliancestats.php?allianceid=1595,Atlas,Depleted,Meagre,http://blocgame.com/rankings.php?subregion=atl,19406 km 2,http://blocgame.com/stats.php?id=60261,,3112 Mbbl,
Clown Job,beatmaster38,http://blocgame.com/alliancestats.php?allianceid=1600,5k active personnel,0 ships,Second World War surplus,1 factory,Good,last online 165 hours ago,rankings.php?subregion=mex,Nazi,$539 million,alliancestats.php?allianceid=1600,Mesoamerica,Plentiful,None,http://blocgame.com/rankings.php?subregion=mex,6785 km 2,http://blocgame.com/stats.php?id=52691,,,
NEMOSFLUFFY,NEMOISFLUFFY,,6k active personnel,0 ships,First World War surplus,2 factories,Undisciplined Rabble,last online 21 hours ago,rankings.php?subregion=pac,,$539 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,19406 km 2,http://blocgame.com/stats.php?id=59908,,,
Miribia,trowaphoenix,,9k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 19 hours ago,rankings.php?subregion=mex,,$536 million,,Mesoamerica,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mex,13613 km 2,http://blocgame.com/stats.php?id=54560,,116 Mbbl,
kanada,leafery,http://blocgame.com/alliancestats.php?allianceid=1909,20k active personnel,0 ships,First World War surplus,None,Good,last online 69 hours ago,rankings.php?subregion=chi,meme lords,$536 million,alliancestats.php?allianceid=1909,China,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=chi,16172 km 2,http://blocgame.com/stats.php?id=58283,,47 Mbbl,
Astaria1,Monacelli,,10k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 15 hours ago,rankings.php?subregion=per,,$531 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60250,,,
Romiia,The Great Tiberius III,http://blocgame.com/alliancestats.php?allianceid=1393,31k active personnel,0 ships,First World War surplus,None,Good,last online 5 hours ago,rankings.php?subregion=sub,BAMF,$525 million,alliancestats.php?allianceid=1393,The Subcontinent,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=sub,23094 km 2,http://blocgame.com/stats.php?id=60242,,,
Bagelstan,Bagel,,5k active personnel,0 ships,First World War surplus,None,Undisciplined Rabble,last online 160 hours ago,rankings.php?subregion=mes,,$523 million,,Mesopotamia,Near Depletion,Meagre,http://blocgame.com/rankings.php?subregion=mes,19020 km 2,http://blocgame.com/stats.php?id=60111,,,
Free Warriors,Milan Vond�ich,http://blocgame.com/alliancestats.php?allianceid=1595,33k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 20 hours ago,rankings.php?subregion=saf,The High Council,$521 million,alliancestats.php?allianceid=1595,Southern Africa,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=saf,27522 km 2,http://blocgame.com/stats.php?id=60293,,325 Mbbl,
Emberica,Whynamewhy,,25k active personnel,0 ships,First World War surplus,1 factory,Good,last online 47 hours ago,rankings.php?subregion=per,,$518 million,,Persia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=60147,,,
