country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
Sqynet,robosax,Brotherhood of Zion,157,2,Advanced,6,Good,0,4475,0,Southern Africa,40,Untapped,Very Powerful,87145,http://blocgame.com/stats.php?id=52255,
Frostyputania,Frostyputa,BAMF,135,9,Vietnam War surplus,3,Elite,44,4456,0,Gran Colombia,1,Untapped,Very Powerful,38560,http://blocgame.com/stats.php?id=42065,
Based World,Lil B,BAMF,217,9,Vietnam War surplus,8,Standard,4,4507,0,The Subcontinent,0,Untapped,Very Powerful,45235,http://blocgame.com/stats.php?id=58035,
Nowy Europa,Jorge Pedraboa,Inter/pol/,138,11,Korean War surplus,4,Elite,12,4325,0,Amazonia,0,Untapped,Very Powerful,36101,http://blocgame.com/stats.php?id=57151,
Parsistan,PrinceOfPersia,BAMF,33,1,Korean War surplus,4,Elite,3,5258,0,Persia,0,Near Depletion,Large,22994,http://blocgame.com/stats.php?id=58128,
The Silver Hand,Morladim,The High Council,198,1,Korean War surplus,7,Good,8,4451,163,Pacific Rim,0,Near Depletion,Large,38884,http://blocgame.com/stats.php?id=56161,
jOOskoland,jOOsko,UoHN,97,46,Almost Modern,11,Poor,0,4332,0,Atlas,0,Plentiful,Very Powerful,72281,http://blocgame.com/stats.php?id=55410,
I Am Mad,I Am Mad,Inter/pol/,150,22,Second World War surplus,4,Good,2,5809,16250,Mesopotamia,0,0,Powerful,48572,http://blocgame.com/stats.php?id=58303,
Bluedenstone,Patelman,Brotherhood of Nod,239,11,Second World War surplus,5,Standard,7,4395,0,Caribbean,0,Near Depletion,Large,35070,http://blocgame.com/stats.php?id=58045,
Violent Vegans,SnakeBombs,The New Vegan Empire,259,50,Almost Modern,12,Good,3,4313,124,Amazonia,0,Untapped,Very Powerful,60214,http://blocgame.com/stats.php?id=48869,
Cocobongo,Cuban Pete,0,94,10,Korean War surplus,5,Elite,10,4370,74,Gran Colombia,0,Untapped,Powerful,23877,http://blocgame.com/stats.php?id=58193,
Kindred,Pendraggon,Inter/pol/,0,4,Second World War surplus,3,Elite,0,2941,0,Pacific Rim,0,Untapped,Somewhat Large,29172,http://blocgame.com/stats.php?id=58449,
Haramia,HARAMNOTHALAL,0,14,4,Almost Modern,3,Undisciplined Rabble,28,4635,5908,Arabia,0,Untapped,Very Powerful,5410,http://blocgame.com/stats.php?id=52802,
