country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
New Iran,Khamenei,,77k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 5 hours ago,rankings.php?subregion=per,,$2280 million,,Persia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=per,15052 km 2,http://blocgame.com/stats.php?id=55651,,,
ayyland,jesusaves,http://blocgame.com/alliancestats.php?allianceid=1580,8k active personnel,0 ships,Second World War surplus,2 factories,Undisciplined Rabble,last online 1 hours ago,rankings.php?subregion=car,Brotherhood of Nod,$2270 million,alliancestats.php?allianceid=1580,Caribbean,,None,http://blocgame.com/rankings.php?subregion=car,7838 km 2,http://blocgame.com/stats.php?id=56439,,,
Peopleoil,newname,http://blocgame.com/alliancestats.php?allianceid=1595,118k active personnel,5 ships,Korean War surplus,5 factories,Good,last online 27 hours ago,rankings.php?subregion=egy,The High Council,$2301 million,alliancestats.php?allianceid=1595,Egypt,Near Depletion,Somewhat Large,http://blocgame.com/rankings.php?subregion=egy,40390 km 2,http://blocgame.com/stats.php?id=59041,,3098 Mbbl,
Jakobstan,Jakublius Enklius,http://blocgame.com/alliancestats.php?allianceid=1595,77k active personnel,0 ships,Second World War surplus,2 factories,Elite,online now,rankings.php?subregion=congo,The High Council,$2250 million,alliancestats.php?allianceid=1595,Congo,Untapped,Small,http://blocgame.com/rankings.php?subregion=congo,36295 km 2,http://blocgame.com/stats.php?id=59396,,793 Mbbl,
Roarspekistan,roar,http://blocgame.com/alliancestats.php?allianceid=1835,27k active personnel,0 ships,First World War surplus,2 factories,Elite,online now,rankings.php?subregion=gra,Roman Republic,$2295 million,alliancestats.php?allianceid=1835,Gran Colombia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gra,16335 km 2,http://blocgame.com/stats.php?id=59084,,,
Seattle,supercurt37,http://blocgame.com/alliancestats.php?allianceid=1820,30k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 143 hours ago,rankings.php?subregion=chi,Mojave Wanderers,$2281 million,alliancestats.php?allianceid=1820,China,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=chi,14825 km 2,http://blocgame.com/stats.php?id=57842,,,
MightyDuckistan,Reginald D. Capote,http://blocgame.com/alliancestats.php?allianceid=1756,84k active personnel,4 ships,Korean War surplus,2 factories,Elite,last online 8 hours ago,rankings.php?subregion=gui,The Golden Company,$2222 million,alliancestats.php?allianceid=1756,Guinea,Near Depletion,Large,http://blocgame.com/rankings.php?subregion=gui,12564 km 2,http://blocgame.com/stats.php?id=57447,,306 Mbbl,
Shadeistan,Colonel Gaddafi,http://blocgame.com/alliancestats.php?allianceid=1644,53k active personnel,4 ships,Second World War surplus,3 factories,Elite,last online 5 hours ago,rankings.php?subregion=chi,Inter/pol/,$2266 million,alliancestats.php?allianceid=1644,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,27278 km 2,http://blocgame.com/stats.php?id=59361,,,
hadouken,Mikeisgay,http://blocgame.com/alliancestats.php?allianceid=1756,9k active personnel,12 ships,Second World War surplus,4 factories,Good,last online 115 hours ago,rankings.php?subregion=egy,The Golden Company,$2268 million,alliancestats.php?allianceid=1756,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,27957 km 2,http://blocgame.com/stats.php?id=59113,,,
Marijuana,Weed is Good the III,http://blocgame.com/alliancestats.php?allianceid=1580,100k active personnel,12 ships,Korean War surplus,6 factories,Undisciplined Rabble,last online 73 hours ago,rankings.php?subregion=car,Brotherhood of Nod,$2167 million,alliancestats.php?allianceid=1580,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27742 km 2,http://blocgame.com/stats.php?id=56663,,,
