country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Bratavia,Jack Calvin,,20k active personnel,0 ships,First World War surplus,None,Standard,last online 32 hours ago,rankings.php?subregion=sea,,$358 million,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60351,,,
FaREiQ,fareiq,http://blocgame.com/alliancestats.php?allianceid=1899,6k active personnel,0 ships,First World War surplus,None,Standard,last online 2 hours ago,rankings.php?subregion=ind,ASEANG,$358 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60369,,52 Mbbl,
Untauzbek,Al Najibun Razaq,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,None,Good,last online 12 hours ago,rankings.php?subregion=ind,ASEANG,$352 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60535,,,
bangsar south,charpiq,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 67 hours ago,rankings.php?subregion=ind,,$356 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60585,,,
Jedi,quvhenko,,19k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 20 hours ago,rankings.php?subregion=pac,,$360 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60614,,440 Mbbl,
Malasier,Pendekar2810,,27k active personnel,0 ships,First World War surplus,None,Elite,last online 22 hours ago,rankings.php?subregion=ind,,$341 million,,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60378,,,
guohai,matian,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 70 hours ago,rankings.php?subregion=chi,,$347 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60428,,431 Mbbl,
Bangsar,azmil94,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 88 hours ago,rankings.php?subregion=ind,,$353 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60464,,,
RSC,sharkRSC,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 87 hours ago,rankings.php?subregion=ind,,$353 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60521,,,
Kemaman,Kleo,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 85 hours ago,rankings.php?subregion=ind,,$336 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60553,,,
Selayang,mhmz89,http://blocgame.com/alliancestats.php?allianceid=1899,19k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=ind,ASEANG,$358 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60642,,146 Mbbl,
New Singapura,James Lancaster,,18k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 95 hours ago,rankings.php?subregion=ind,,$353 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60422,,,
admiral haz,admiral haz,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 23 hours ago,rankings.php?subregion=ind,ASEANG,$357 million,alliancestats.php?allianceid=1899,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60473,,498 Mbbl,
Melengkar Alam,Raja dewata,http://blocgame.com/alliancestats.php?allianceid=1899,31k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=ind,ASEANG,$346 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60554,,299 Mbbl,
North Marudu,AyipNorth,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 88 hours ago,rankings.php?subregion=ind,,$345 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60436,,,
Raedos Aaron,Aaron Malaya,,20k active personnel,0 ships,First World War surplus,None,Standard,last online 2 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,Untapped,Small,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60586,,,
Marongwangsa,Dato Sri lat,http://blocgame.com/alliancestats.php?allianceid=1899,4k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,online now,rankings.php?subregion=pac,ASEANG,$350 million,alliancestats.php?allianceid=1899,Pacific Rim,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=pac,19602 km 2,http://blocgame.com/stats.php?id=60588,,176 Mbbl,
