country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,oil_reserves,region/_text,uranium,manpower,airforce,region,territory,pageUrl
WUBstep,WUBstep,http://blocgame.com/alliancestats.php?allianceid=1580,265k active personnel,56 ships,Advanced,12 factories,Standard,last online 2 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$10535 million,alliancestats.php?allianceid=1580,1331 Mbbl,Persia,2 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,125146 km 2,http://blocgame.com/stats.php?id=39023
Tyrantia,Malakal,http://blocgame.com/alliancestats.php?allianceid=1576,186k active personnel,51 ships,Persian Gulf War surplus,14 factories,Good,online now,rankings.php?subregion=ind,The Last Phoenix,$12370 million,alliancestats.php?allianceid=1576,50 Mbbl,East Indies,3 Tons,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,50980 km 2,http://blocgame.com/stats.php?id=40238
Savannah,Watersfall,http://blocgame.com/alliancestats.php?allianceid=1576,30k active personnel,24 ships,Almost Modern,7 factories,Elite,last online 2 hours ago,rankings.php?subregion=pac,The Last Phoenix,$10718 million,alliancestats.php?allianceid=1576,,Pacific Rim,,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,36754 km 2,http://blocgame.com/stats.php?id=49817
TheDesertFox,DesertFox,http://blocgame.com/alliancestats.php?allianceid=1393,184k active personnel,36 ships,Almost Modern,9 factories,Good,last online 2 hours ago,rankings.php?subregion=pac,BAMF,$10393 million,alliancestats.php?allianceid=1393,,Pacific Rim,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,47837 km 2,http://blocgame.com/stats.php?id=52368
Peach,Tanaille,http://blocgame.com/alliancestats.php?allianceid=1599,174k active personnel,31 ships,Persian Gulf War surplus,16 factories,Good,last online 4 hours ago,rankings.php?subregion=mes,Wreckage brothers,$10464 million,alliancestats.php?allianceid=1599,,Mesopotamia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,122162 km 2,http://blocgame.com/stats.php?id=54825
Rodan,Rodgun,http://blocgame.com/alliancestats.php?allianceid=1580,60k active personnel,33 ships,Persian Gulf War surplus,9 factories,Good,online now,rankings.php?subregion=per,Brotherhood of Nod,$10650 million,alliancestats.php?allianceid=1580,5210 Mbbl,Persia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,35001 km 2,http://blocgame.com/stats.php?id=52317
Robots,stormbot28,http://blocgame.com/alliancestats.php?allianceid=1599,159k active personnel,23 ships,Vietnam War surplus,8 factories,Elite,last online 2 hours ago,rankings.php?subregion=car,Wreckage brothers,$10570 million,alliancestats.php?allianceid=1599,,Caribbean,,Plentiful,Powerful,http://blocgame.com/rankings.php?subregion=car,45824 km 2,http://blocgame.com/stats.php?id=40242
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,171k active personnel,51 ships,Almost Modern,9 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,Inter/pol/,$10500 million,alliancestats.php?allianceid=1644,,Persia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,51765 km 2,http://blocgame.com/stats.php?id=49556
British Egypt,Montgomery,http://blocgame.com/alliancestats.php?allianceid=1393,81k active personnel,51 ships,Persian Gulf War surplus,5 factories,Elite,last online 1 hours ago,rankings.php?subregion=egy,BAMF,$10418 million,alliancestats.php?allianceid=1393,7581 Mbbl,Egypt,,,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,29757 km 2,http://blocgame.com/stats.php?id=45596
Bear Country,Kowalski,http://blocgame.com/alliancestats.php?allianceid=1580,86k active personnel,9 ships,Second World War surplus,3 factories,Standard,last online 5 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$10314 million,alliancestats.php?allianceid=1580,,Persia,,Near Depletion,Somewhat Large,http://blocgame.com/rankings.php?subregion=per,19240 km 2,http://blocgame.com/stats.php?id=54578
Lepkonia,Raguixxx,http://blocgame.com/alliancestats.php?allianceid=1644,72k active personnel,8 ships,Almost Modern,6 factories,Elite,last online 3 hours ago,rankings.php?subregion=con,Inter/pol/,$8525 million,alliancestats.php?allianceid=1644,,Southern Cone,,Depleted,Very Powerful,http://blocgame.com/rankings.php?subregion=con,28780 km 2,http://blocgame.com/stats.php?id=55854
Histalaxia,Sir William the First,http://blocgame.com/alliancestats.php?allianceid=1810,185k active personnel,21 ships,Persian Gulf War surplus,8 factories,Standard,last online 4 hours ago,rankings.php?subregion=pac,EUN,$10029 million,alliancestats.php?allianceid=1810,,Pacific Rim,,,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,31645 km 2,http://blocgame.com/stats.php?id=51506
Eagleland,AMERICAN_HERO,http://blocgame.com/alliancestats.php?allianceid=1599,53k active personnel,15 ships,Korean War surplus,7 factories,Undisciplined Rabble,last online 7 hours ago,rankings.php?subregion=mex,Wreckage brothers,$10178 million,alliancestats.php?allianceid=1599,,Mesoamerica,,Untapped,Large,http://blocgame.com/rankings.php?subregion=mex,39537 km 2,http://blocgame.com/stats.php?id=39022
Versail,Chairman,http://blocgame.com/alliancestats.php?allianceid=1644,7k active personnel,3 ships,Persian Gulf War surplus,3 factories,Good,last online 36 hours ago,rankings.php?subregion=car,Inter/pol/,$10744 million,alliancestats.php?allianceid=1644,,Caribbean,,Untapped,Large,http://blocgame.com/rankings.php?subregion=car,14037 km 2,http://blocgame.com/stats.php?id=45646
reptil,maniacgxz,,196k active personnel,32 ships,Almost Modern,10 factories,Elite,online now,rankings.php?subregion=ara,,$11582 million,,4526 Mbbl,Arabia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,42599 km 2,http://blocgame.com/stats.php?id=53598
Asenea,DrSmouse,http://blocgame.com/alliancestats.php?allianceid=1682,139k active personnel,32 ships,Almost Modern,5 factories,Elite,last online 18 hours ago,rankings.php?subregion=car,S.T.A.L.K.E.R.,$9688 million,alliancestats.php?allianceid=1682,,Caribbean,,,Very Powerful,http://blocgame.com/rankings.php?subregion=car,27725 km 2,http://blocgame.com/stats.php?id=55546
Swadia,SonnyJack,http://blocgame.com/alliancestats.php?allianceid=1580,209k active personnel,1 ships,Advanced,15 factories,Good,last online 2 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$9455 million,alliancestats.php?allianceid=1580,,Arabia,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,100182 km 2,http://blocgame.com/stats.php?id=40011
The Kebabtopol,Ghaddafini,http://blocgame.com/alliancestats.php?allianceid=1393,410k active personnel,7 ships,Persian Gulf War surplus,14 factories,Poor,last online 10 hours ago,rankings.php?subregion=sea,BAMF,$9549 million,alliancestats.php?allianceid=1393,,Indochina,,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,80978 km 2,http://blocgame.com/stats.php?id=40117
