country,leader,alliance,army_size,navy,reactor,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Republic Dank,Dank de von Psstoyeur,Brotherhood of Nod,35k active personnel,0 ships,,Second World War surplus,Gandhi-like,None,Standard,last online 47 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$537 million,4416 Mbbl; 4 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=58562,
KelabuAsap,kelam,The High Council,54k active personnel,0 ships,,First World War surplus,Gandhi-like,3 factories,Standard,last online 3 hours ago,18 Hundred Tons per month,11 Mbbl per month,Central Planning,$537 million,395 Mbbl; 11 Mbbl,Untapped,Large,East Indies,Soviet Union,27198 km 2,http://blocgame.com/stats.php?id=60664,
Ghost,Kaali,The Order,44k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,13 Hundred Tons per month,9 Mbbl per month,Free Market,$537 million,4455 Mbbl,Untapped,Somewhat Large,Arabia,United States,31696 km 2,http://blocgame.com/stats.php?id=63068,
East Nubia,Tony Johnson,The Order,62k active personnel,0 ships,,Second World War surplus,Normal,1 factory,Good,last online 2 hours ago,21 Hundred Tons per month,5 Mbbl per month,Central Planning,$537 million,161 Mbbl,Untapped,Mediocre,Congo,Soviet Union,33677 km 2,http://blocgame.com/stats.php?id=63663,
DevilsAndDemons,Andrew666,,7k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,1 factory,Undisciplined Rabble,last online 3 hours ago,8 Hundred Tons per month,1 Mbbl per month,Free Market,$537 million,,Untapped,None,Arabia,United States,12845 km 2,http://blocgame.com/stats.php?id=64116,
House Tyrell,Mace Tyrell,Illuminati,14k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Good,last online 31 hours ago,6 Hundred Tons per month,6 Mbbl per month,Free Market,$536 million,1289 Mbbl; 6 Mbbl,Untapped,None,Arabia,United States,16335 km 2,http://blocgame.com/stats.php?id=64093,
The Deserted,Kamakazi Sunshine,Brotherhood of Zion,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Elite,last online 17 hours ago,10 Hundred Tons per month,3 Mbbl per month,Central Planning,$535 million,192 Mbbl,,None,Pacific Rim,Soviet Union,15823 km 2,http://blocgame.com/stats.php?id=40459,
qigong,Qigong,,8k active personnel,0 ships,,First World War surplus,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Free Market,$535 million,,Untapped,Meagre,China,United States,16335 km 2,http://blocgame.com/stats.php?id=64086,
Vethuovania,Tragar,,7k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Good,last online 93 hours ago,7 Hundred Tons per month,,Mixed Economy,$533 million,,,Small,Indochina,United States,15380 km 2,http://blocgame.com/stats.php?id=62334,
Dragon Stone,Mannis,Interpol,39k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$531 million,307 Mbbl; 2 Mbbl,Untapped,Somewhat Large,The Subcontinent,Soviet Union,21814 km 2,http://blocgame.com/stats.php?id=54852,
Bayu,Kazeng,,8k active personnel,0 ships,,First World War surplus,Gandhi-like,1 factory,Standard,last online 87 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$531 million,2 Mbbl; 3 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,17659 km 2,http://blocgame.com/stats.php?id=60447,
Ashraff,lop96,,2k active personnel,0 ships,,First World War surplus,Good,None,Elite,last online 58 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$531 million,2922 Mbbl; 1 Mbbl,Untapped,Small,Arabia,United States,13477 km 2,http://blocgame.com/stats.php?id=62808,
Wankmuffin,tempcunt,,15k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,1 factory,Good,online now,11 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$531 million,304 Mbbl; 3 Mbbl,Untapped,None,Mesoamerica,Neutral,18589 km 2,http://blocgame.com/stats.php?id=63325,
Jurhiel,Brian Van Helsing,SPQR,2k active personnel,0 ships,,Finest of the 19th century,Gandhi-like,1 factory,Elite,last online 54 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$530 million,2162 Mbbl; 6 Mbbl,,None,Mesopotamia,United States,16011 km 2,http://blocgame.com/stats.php?id=49243,
Melengkar Alam,Raja dewata,The High Council,50k active personnel,0 ships,,Second World War surplus,Gandhi-like,2 factories,Standard,last online 7 hours ago,7 Hundred Tons per month,12 Mbbl per month,Central Planning,$530 million,5321 Mbbl; 12 Mbbl,,Meagre,Arabia,Soviet Union,28235 km 2,http://blocgame.com/stats.php?id=60554,
morelia,lemambanglemai8621,PIRATES,30k active personnel,0 ships,,Second World War surplus,Gandhi-like,1 factory,Standard,last online 9 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$530 million,405 Mbbl; 4 Mbbl,Plentiful,Mediocre,Caribbean,Soviet Union,25527 km 2,http://blocgame.com/stats.php?id=61850,
