country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
East Takistan,Sheepshagger,The United Nations,8k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$387 million,2851 Mbbl; 3 Mbbl,Untapped,Meagre,Arabia,Soviet Union,22561 km 2,http://blocgame.com/stats.php?id=58950,,
Abingdon,wishon,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 137 hours ago,2 Hundred Tons per month,,Central Planning,$384 million,2163 Mbbl,Untapped,None,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64394,,
Lower Silesia,antivistia,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 173 hours ago,2 Hundred Tons per month,,Central Planning,$384 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64455,,
Rerum,Rickard,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Free Market,$384 million,,Untapped,None,Gran Colombia,Neutral,16667 km 2,http://blocgame.com/stats.php?id=64531,,
Vistrius,Moltius,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 161 hours ago,2 Hundred Tons per month,,Mixed Economy,$383 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64410,,
Anfield,p0ssyb0ss,Steel Brotherhood,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,online now,2 Hundred Tons per month,,Free Market,$383 million,,Untapped,None,China,United States,13890 km 2,http://blocgame.com/stats.php?id=64538,,
Dutch East Ind.,maximus321,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 167 hours ago,2 Hundred Tons per month,,Mixed Economy,$382 million,,Untapped,None,East Indies,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64430,,
Greatness.,Lord Aldridge,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 172 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$381 million,390 Mbbl; 1 Mbbl,Untapped,None,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64456,,
Agostino,Augusto,The Order,97k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,11 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$380 million,8044 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,27467 km 2,http://blocgame.com/stats.php?id=60229,,
United Bengal,Dank Eucalyptus,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 167 hours ago,2 Hundred Tons per month,,Central Planning,$379 million,,Untapped,None,The Subcontinent,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64463,,
Cincinattus,Steveotheguide,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Mixed Economy,$379 million,,Untapped,None,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64469,,
ainz ooal gown,momoonga,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 162 hours ago,3 Hundred Tons per month,,Central Planning,$379 million,493 Mbbl,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64473,,
Afpakistan,WolfyTheAlpha,Steel Brotherhood,19k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 1 hours ago,6 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$379 million,938 Mbbl,Untapped,Meagre,Atlas,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=64497,,
Flower Hippies,Wolololo,Steel Brotherhood,34k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 4 hours ago,7 Hundred Tons per month,,Central Planning,$379 million,,Plentiful,Meagre,Pacific Rim,United States,20000 km 2,http://blocgame.com/stats.php?id=64563,,
helliana,devin,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Central Planning,$378 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64468,,
Union Mech,Particleman,SPQR,33k active personnel,0 ships,First World War surplus,Normal,None,Good,last online 7 hours ago,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$378 million,3 Mbbl,Untapped,Meagre,East Africa,Soviet Union,26095 km 2,http://blocgame.com/stats.php?id=64591,,
Lantany,Colchiz,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 103 hours ago,2 Hundred Tons per month,,Central Planning,$377 million,,Untapped,None,Gran Colombia,Neutral,16667 km 2,http://blocgame.com/stats.php?id=64529,,
Real Niggas,Babatunde,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 160 hours ago,2 Hundred Tons per month,,Central Planning,$376 million,,Untapped,None,East Africa,Neutral,16500 km 2,http://blocgame.com/stats.php?id=64478,,
