country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Mingland,mpetersen,Brotherhood of Nod,118k active personnel,9 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,28 Hundred Tons per month,12 Mbbl per month,Central Planning,$2322 million,310 Mbbl; 12 Mbbl,Untapped,Very Powerful,Southern Africa,Soviet Union,29330 km 2,http://blocgame.com/stats.php?id=63922,,
Tamarlania,Vagrant,The Order,139k active personnel,9 ships,Second World War surplus,Normal,8 factories,Elite,last online 18 hours ago,70 Hundred Tons per month,67 Mbbl per month,Free Market,$2310 million,4873 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,58382 km 2,http://blocgame.com/stats.php?id=61626,,5%
Byzantium,The Wolf,Steel Brotherhood,89k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,33 Hundred Tons per month,14 Mbbl per month,Free Market,$2301 million,5925 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,41349 km 2,http://blocgame.com/stats.php?id=41125,,
The NLR,Darknight,The Order,74k active personnel,6 ships,Korean War surplus,Questionable,2 factories,Good,online now,65 Hundred Tons per month,5 Mbbl per month,Central Planning,$2296 million,121 Mbbl; 5 Mbbl,Untapped,Very Powerful,Congo,Soviet Union,56545 km 2,http://blocgame.com/stats.php?id=49701,,
CTSKRR,CTSKRR,The Divine Council,19k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 4 hours ago,11 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$2284 million,235 Mbbl; 8 Mbbl,Untapped,Mediocre,China,Soviet Union,14830 km 2,http://blocgame.com/stats.php?id=60811,,
Sintra,Daniel Lima,The Order,85k active personnel,6 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2280 million,42 Mbbl; 12 Mbbl,Untapped,Somewhat Large,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,,
Mmhat,Homermustdie,The Divine Council,18k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Free Market,$2276 million,121 Mbbl; 2 Mbbl,Untapped,Mediocre,Amazonia,United States,20400 km 2,http://blocgame.com/stats.php?id=45846,,
Crimea,Hayro Khan,The Order,58k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 4 hours ago,17 Hundred Tons per month,11 Mbbl per month,Central Planning,$2270 million,3408 Mbbl; 11 Mbbl,,Large,Atlas,Soviet Union,31017 km 2,http://blocgame.com/stats.php?id=2570,,
Manturia-Korea,Maosecond,,102k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,21 Hundred Tons per month,5 Mbbl per month,Free Market,$2252 million,209 Mbbl,Untapped,Somewhat Large,China,United States,22792 km 2,http://blocgame.com/stats.php?id=64188,,
Lombardy,Aistulf,The Order,64k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Standard,online now,20 Hundred Tons per month,18 Mbbl per month,Free Market,$2241 million,7865 Mbbl,Plentiful,Large,Persia,United States,51308 km 2,http://blocgame.com/stats.php?id=63882,,
constania,Comrade,The Divine Council,99k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 51 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2236 million,7 Mbbl,Untapped,Powerful,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
Southern Africa,TheMaster_ZA,The Order,78k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,33 Hundred Tons per month,5 Mbbl per month,Central Planning,$2230 million,155 Mbbl,Untapped,Powerful,Southern Africa,Soviet Union,49553 km 2,http://blocgame.com/stats.php?id=48410,,
Russophia,Mikhail Putin,SPQR,7k active personnel,0 ships,Korean War surplus,Gandhi-like,None,Elite,last online 14 hours ago,3 Hundred Tons per month,8 Mbbl per month,Central Planning,$2207 million,1281 Mbbl; 8 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,4471 km 2,http://blocgame.com/stats.php?id=54426,,
Conrad,Waled,SPQR,80k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,20 Hundred Tons per month,16 Mbbl per month,Central Planning,$2206 million,4432 Mbbl; 16 Mbbl,,Large,Egypt,Soviet Union,17622 km 2,http://blocgame.com/stats.php?id=62640,,5%
Lubekran,septima,Interpol,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$2198 million,461 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,8097 km 2,http://blocgame.com/stats.php?id=62568,,
Sepidajistan,Shah Squid,Steel Brotherhood,35k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Elite,last online 7 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$2193 million,3677 Mbbl; 2 Mbbl,,Powerful,Atlas,Soviet Union,13917 km 2,http://blocgame.com/stats.php?id=59462,,
Alexandrastan,TWAIN,Brotherhood of Nod,51k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 8 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2188 million,1862 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,28361 km 2,http://blocgame.com/stats.php?id=39070,,
Neechanville,Overlord-kun,Steel Brotherhood,66k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 13 hours ago,18 Hundred Tons per month,5 Mbbl per month,Central Planning,$2183 million,401 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Gran Colombia,Soviet Union,27420 km 2,http://blocgame.com/stats.php?id=63023,,
Ghost Shark,Sharky,PIRATES,76k active personnel,9 ships,Second World War surplus,Nice,3 factories,Good,online now,12 Hundred Tons per month,6 Mbbl per month,Free Market,$2179 million,140 Mbbl,Untapped,Large,East Indies,United States,49248 km 2,http://blocgame.com/stats.php?id=63863,,
Lothl�rien,Galadriel,,159k active personnel,14 ships,Korean War surplus,Angelic,10 factories,Elite,online now,41 Hundred Tons per month,41 Mbbl per month,Free Market,$2166 million,11741 Mbbl; 41 Mbbl,,Very Powerful,Atlas,United States,41177 km 2,http://blocgame.com/stats.php?id=64165,,
Ferma,President Jacobo Vincenzo,The Order,69k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,online now,25 Hundred Tons per month,,Free Market,$2164 million,178 Mbbl,Untapped,Large,Southern Cone,United States,27656 km 2,http://blocgame.com/stats.php?id=58784,,
Jebawka,Shetay,The Order,99k active personnel,0 ships,Korean War surplus,Angelic,3 factories,Standard,online now,18 Hundred Tons per month,10 Mbbl per month,Free Market,$2159 million,3147 Mbbl,Untapped,Very Powerful,Arabia,United States,29809 km 2,http://blocgame.com/stats.php?id=54304,,
SOPF,Johnathinski Weston,The United Nations,8k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 52 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$2158 million,69 Mbbl; 4 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,14460 km 2,http://blocgame.com/stats.php?id=62841,,
Khuzestan,Georgy Zhukov,The Federal Colonies,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2155 million,2961 Mbbl; 10 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,42240 km 2,http://blocgame.com/stats.php?id=48914,2 Tons,
Classia,Classic,Steel Brotherhood,11k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,online now,17 Hundred Tons per month,13 Mbbl per month,Mixed Economy,$2154 million,216 Mbbl,Near Depletion,Large,China,United States,36165 km 2,http://blocgame.com/stats.php?id=63652,,
Leinad,bloodywaffles12,The Order,99k active personnel,2 ships,Second World War surplus,Nice,3 factories,Standard,last online 3 hours ago,14 Hundred Tons per month,9 Mbbl per month,Central Planning,$2150 million,570 Mbbl; 9 Mbbl,Untapped,Somewhat Large,China,Soviet Union,19146 km 2,http://blocgame.com/stats.php?id=59332,,
Jemut,iwaniman/Ferozz,PIRATES,68k active personnel,6 ships,Second World War surplus,Gandhi-like,5 factories,Elite,last online 3 hours ago,25 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$2134 million,264 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,38255 km 2,http://blocgame.com/stats.php?id=61811,,
New Luzon,Chester E. Marquez,The Order,78k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Good,online now,8 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2131 million,4860 Mbbl,Untapped,Somewhat Large,Egypt,Neutral,36192 km 2,http://blocgame.com/stats.php?id=63066,,
Psilocybis,Lysergix,Brotherhood of Nod,34k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$2129 million,5055 Mbbl; 8 Mbbl,Untapped,Large,Persia,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62795,,
SettingMoon,Hawk,The Order,36k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$2122 million,432 Mbbl; 5 Mbbl,Untapped,Powerful,East Indies,Soviet Union,17107 km 2,http://blocgame.com/stats.php?id=62839,,
Cubania,General Fidelis,The Order,79k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 13 hours ago,42 Hundred Tons per month,12 Mbbl per month,Central Planning,$2106 million,50 Mbbl; 12 Mbbl,Untapped,Large,Mesoamerica,Soviet Union,56421 km 2,http://blocgame.com/stats.php?id=47349,,
Treehouse,Number One,The Divine Council,49k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,6 Hundred Tons per month,3 Mbbl per month,Free Market,$2105 million,335 Mbbl; 3 Mbbl,Untapped,Powerful,Indochina,United States,18866 km 2,http://blocgame.com/stats.php?id=58889,,
Thair,Tacoonastick,The Order,20k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 16 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$2101 million,375 Mbbl; 5 Mbbl,,Large,Congo,Soviet Union,10465 km 2,http://blocgame.com/stats.php?id=60955,,
Selja,Whalenator,Brotherhood of Nod,22k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,19 Hundred Tons per month,8 Mbbl per month,Central Planning,$2095 million,3315 Mbbl; 8 Mbbl,Near Depletion,Small,Persia,Soviet Union,29447 km 2,http://blocgame.com/stats.php?id=63172,,
Texastan,Rebel Lord,Interpol,90k active personnel,5 ships,Second World War surplus,Angelic,5 factories,Standard,last online 2 hours ago,23 Hundred Tons per month,24 Mbbl per month,Central Planning,$2089 million,6449 Mbbl; 24 Mbbl,Untapped,Very Powerful,Mesopotamia,Soviet Union,51939 km 2,http://blocgame.com/stats.php?id=58149,,
kweensnkans,Jamal T.Ice cube,,41k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 115 hours ago,7 Hundred Tons per month,4 Mbbl per month,Free Market,$2085 million,2987 Mbbl,,Large,Egypt,United States,16728 km 2,http://blocgame.com/stats.php?id=63345,,
Etiwan,Latvu,The Divine Council,9k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 140 hours ago,19 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$2079 million,221 Mbbl,Untapped,Mediocre,Amazonia,United States,20052 km 2,http://blocgame.com/stats.php?id=60056,,
Deagle Nation!,Jace Connors,Brotherhood of Nod,99k active personnel,2 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 14 hours ago,20 Hundred Tons per month,25 Mbbl per month,Central Planning,$2079 million,3745 Mbbl; 25 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,51706 km 2,http://blocgame.com/stats.php?id=63100,,
