country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Hells Angel,Avangarde,The Order,35k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 11 hours ago,14 Hundred Tons per month,2 Mbbl per month,Central Planning,$394 million,410 Mbbl; 2 Mbbl,Untapped,Meagre,,Guinea,Soviet Union,27493 km 2,http://blocgame.com/stats.php?id=63923
Bloodied Stools,cowds,The High Council,19k active personnel,0 ships,First World War surplus,Mad Dog,None,Good,last online 11 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$407 million,102 Mbbl; 5 Mbbl,Untapped,Mediocre,,Gran Colombia,Soviet Union,24857 km 2,http://blocgame.com/stats.php?id=56997
Boro,Speedy13,The Order,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 10 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$410 million,309 Mbbl; 3 Mbbl,Plentiful,Meagre,,Caribbean,Neutral,19602 km 2,http://blocgame.com/stats.php?id=59257
Aroucia,Pleeb,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 25 hours ago,2 Hundred Tons per month,,Central Planning,$436 million,,Untapped,None,,Mesoamerica,Neutral,16501 km 2,http://blocgame.com/stats.php?id=59585
morelia,lemambanglemai8621,,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 2 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$388 million,453 Mbbl; 4 Mbbl,Untapped,Mediocre,,Caribbean,Soviet Union,24707 km 2,http://blocgame.com/stats.php?id=61850
Italica,Lord Potash,SPQR,23k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 8 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$402 million,1563 Mbbl; 2 Mbbl,Untapped,Mediocre,,Egypt,Neutral,23562 km 2,http://blocgame.com/stats.php?id=63435
melayuraya,bangsamelayu,,38k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 10 hours ago,8 Hundred Tons per month,7 Mbbl per month,Central Planning,$403 million,100 Mbbl; 7 Mbbl,Untapped,Mediocre,,The Subcontinent,Neutral,22574 km 2,http://blocgame.com/stats.php?id=63546
Mafros,hocuspocusinedible,Brotherhood of Nod,8k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 24 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$432 million,,Untapped,Meagre,,Persia,United States,16010 km 2,http://blocgame.com/stats.php?id=63788
Gallifrey,The Doctor,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 134 hours ago,2 Hundred Tons per month,,Mixed Economy,$417 million,,Untapped,None,,Southern Cone,Neutral,19602 km 2,http://blocgame.com/stats.php?id=40351
Kozakura,Tenrai,The High Council,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 19 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$427 million,,Untapped,Meagre,,Pacific Rim,United States,19999 km 2,http://blocgame.com/stats.php?id=48894
methamphetamine,UDIN88,The Federal Colonies,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 23 hours ago,9 Hundred Tons per month,9 Mbbl per month,Central Planning,$427 million,310 Mbbl; 9 Mbbl,Untapped,Mediocre,,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61702
Raizar,Far-Han,,26k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 96 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$416 million,408 Mbbl; 2 Mbbl,Untapped,Small,,The Subcontinent,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62443
Borgasha,Magus Evergreen,The Order,26k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$414 million,4791 Mbbl; 3 Mbbl,Untapped,Small,,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63407
Vargr,NickiusBigDickius,,2k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 9 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$426 million,,Near Depletion,Meagre,,Southern Africa,Neutral,15815 km 2,http://blocgame.com/stats.php?id=63524
Shariastan,Taqiyyabro,The Order,8k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 92 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$430 million,2248 Mbbl,Untapped,None,,Atlas,United States,16335 km 2,http://blocgame.com/stats.php?id=63574
Goatistan,limpinggoat,FLAP,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Good,last online 119 hours ago,2 Hundred Tons per month,,Mixed Economy,$430 million,,Untapped,None,,Caribbean,Neutral,16335 km 2,http://blocgame.com/stats.php?id=41688
Dogenation,dodgingdoge,The High Council,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 2 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$420 million,1 Mbbl,Untapped,None,,Persia,United States,13477 km 2,http://blocgame.com/stats.php?id=59174
Tuaran,Sufrie,,13k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 16 hours ago,13 Hundred Tons per month,9 Mbbl per month,Central Planning,$427 million,332 Mbbl,Untapped,Meagre,,Pacific Rim,Neutral,16335 km 2,http://blocgame.com/stats.php?id=61828
Accomponga,General James,African Socialism 2,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 137 hours ago,3 Hundred Tons per month,,Mixed Economy,$405 million,,Untapped,Meagre,,West Africa,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63140
Ultios,Noctis,The Order,42k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 5 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$397 million,91 Mbbl; 4 Mbbl,Untapped,Meagre,1 Tons,Pacific Rim,Soviet Union,28019 km 2,http://blocgame.com/stats.php?id=59917
Qaramur,Qaram,Divine League,4k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 11 hours ago,4 Hundred Tons per month,,Central Planning,$416 million,,,Meagre,,The Subcontinent,Soviet Union,8507 km 2,http://blocgame.com/stats.php?id=62861
Krajina,�eljko Ra�natovi�,Lithuanian Coalition,35k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 18 hours ago,16 Hundred Tons per month,14 Mbbl per month,Central Planning,$409 million,4155 Mbbl; 14 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,23665 km 2,http://blocgame.com/stats.php?id=62961
Bruce Man,Bat Wayn,The High Council,28k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 11 hours ago,6 Hundred Tons per month,7 Mbbl per month,Central Planning,$402 million,5664 Mbbl; 7 Mbbl,Untapped,Powerful,,Arabia,Soviet Union,34987 km 2,http://blocgame.com/stats.php?id=59564
Northwest Front,Jaredar,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 143 hours ago,4 Hundred Tons per month,1 Mbbl per month,Free Market,$405 million,1 Mbbl,Untapped,None,,Mesoamerica,United States,20000 km 2,http://blocgame.com/stats.php?id=63507
Rogue Nation,MR.Fernandez,,33k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 1 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$396 million,9 Mbbl; 2 Mbbl,Untapped,Small,,China,United States,22858 km 2,http://blocgame.com/stats.php?id=64135
Praetoria Augusta,Lykos,SPQR,49k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 16 hours ago,2 Hundred Tons per month,14 Mbbl per month,Central Planning,$395 million,2779 Mbbl; 14 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,23156 km 2,http://blocgame.com/stats.php?id=39021
Somaliya,Al Somali,Interpol,41k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 12 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$396 million,3385 Mbbl; 2 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,23790 km 2,http://blocgame.com/stats.php?id=52569
Nova Ikaki,Bisimbi,Brotherhood of Nod,38k active personnel,0 ships,First World War surplus,Nice,None,Good,last online 1 hours ago,3 Hundred Tons per month,6 Mbbl per month,Free Market,$400 million,5492 Mbbl,Untapped,Meagre,,Arabia,Neutral,23665 km 2,http://blocgame.com/stats.php?id=55911
Freedom Treaty,Ursa Majoris,The United Nations,31k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 59 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$402 million,344 Mbbl; 2 Mbbl,Untapped,Small,,China,Soviet Union,23665 km 2,http://blocgame.com/stats.php?id=57690
San Vincente,Manuelo Alberto,,25k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 160 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$400 million,227 Mbbl; 3 Mbbl,Untapped,Small,,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=55217
Smoking Bandit,RENTAKA,,48k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 35 hours ago,4 Hundred Tons per month,6 Mbbl per month,Central Planning,$436 million,1794 Mbbl; 6 Mbbl,Near Depletion,Somewhat Large,,Egypt,Soviet Union,15472 km 2,http://blocgame.com/stats.php?id=60611
Merchandise,HappyMerchant,Lithuanian Coalition,59k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 23 hours ago,13 Hundred Tons per month,7 Mbbl per month,Mixed Economy,$389 million,2943 Mbbl,Untapped,Mediocre,,Mesopotamia,United States,26620 km 2,http://blocgame.com/stats.php?id=61572
