country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Sg Api,Alienboy,PIRATES,57k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Standard,last online 4 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$625 million,620 Mbbl; 5 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,21101 km 2,http://blocgame.com/stats.php?id=64798,,
thuglife,thuglife,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 97 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$625 million,1130 Mbbl; 2 Mbbl,Untapped,None,Egypt,United States,13613 km 2,http://blocgame.com/stats.php?id=64840,,
Coalition,Bilingo,,18k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 13 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$625 million,361 Mbbl,Untapped,Small,Mesoamerica,United States,20382 km 2,http://blocgame.com/stats.php?id=65008,,
York Island,Sir York,PIRATES,60k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,last online 4 hours ago,18 Hundred Tons per month,5 Mbbl per month,Free Market,$624 million,321 Mbbl,Untapped,Large,Caribbean,United States,39469 km 2,http://blocgame.com/stats.php?id=64122,,
FuckPussyStan,AutisticNigger,Socialist Arab Union,1k active personnel,0 ships,Second World War surplus,Questionable,None,Undisciplined Rabble,last online 4 hours ago,3 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$624 million,3 Mbbl,Untapped,None,Mesopotamia,Neutral,6385 km 2,http://blocgame.com/stats.php?id=64781,,
basetrade,basetrade,,3k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 98 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$622 million,514 Mbbl; 2 Mbbl,Untapped,None,Atlas,Neutral,11045 km 2,http://blocgame.com/stats.php?id=64329,,
qwertyuioppp,qwertyuioppp,Brotherhood of Nod,32k active personnel,0 ships,Second World War surplus,Isolated,None,Poor,last online 23 hours ago,2 Hundred Tons per month,,Central Planning,$621 million,,Untapped,None,Arabia,Neutral,20886 km 2,http://blocgame.com/stats.php?id=61873,,
Tsalvo,GhostBear,,38k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 3 hours ago,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$616 million,55 Mbbl; 1 Mbbl,Untapped,Meagre,East Indies,Soviet Union,26002 km 2,http://blocgame.com/stats.php?id=65223,,
Qing Benjgn,WolfNero,Republic of China,8k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 114 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$612 million,,Untapped,Small,China,United States,16172 km 2,http://blocgame.com/stats.php?id=64997,,
balemu1987,balemu1987,,18k active personnel,0 ships,First World War surplus,Nice,None,Undisciplined Rabble,online now,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$610 million,35 Mbbl; 1 Mbbl,Untapped,None,Indochina,Neutral,7481 km 2,http://blocgame.com/stats.php?id=63972,,
