country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Thinkpad,maskedplacebo,The Order,108k active personnel,9 ships,Second World War surplus,Gandhi-like,3 factories,Standard,online now,22 Hundred Tons per month,6 Mbbl per month,Central Planning,$2156 million,425 Mbbl,Untapped,Very Powerful,Indochina,Soviet Union,37729 km 2,http://blocgame.com/stats.php?id=63332,,
Rengit,merahsakti,The Order,137k active personnel,5 ships,Vietnam War surplus,Questionable,3 factories,Poor,online now,101 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$2146 million,527 Mbbl; 4 Mbbl,,Very Powerful,Congo,Neutral,50953 km 2,http://blocgame.com/stats.php?id=61769,,
����������,������ �������,Interpol,139k active personnel,3 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 7 hours ago,25 Hundred Tons per month,14 Mbbl per month,Central Planning,$2141 million,250 Mbbl; 14 Mbbl,Untapped,Very Powerful,Gran Colombia,Soviet Union,36959 km 2,http://blocgame.com/stats.php?id=54626,,
Moneymaking,Bill Gates,,13k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 35 hours ago,4 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$2140 million,755 Mbbl; 5 Mbbl,Untapped,Powerful,Arabia,United States,4127 km 2,http://blocgame.com/stats.php?id=64271,,
Poundtown,FLAKT,Brotherhood of Nod,118k active personnel,6 ships,Korean War surplus,Angelic,3 factories,Elite,last online 6 hours ago,20 Hundred Tons per month,9 Mbbl per month,Central Planning,$2132 million,777 Mbbl; 9 Mbbl,Untapped,Very Powerful,East Africa,Soviet Union,47033 km 2,http://blocgame.com/stats.php?id=39066,,
Kyranistan,Michael Hussain,,5k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 60 hours ago,3 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$2129 million,699 Mbbl; 3 Mbbl,,Mediocre,Persia,Neutral,2145 km 2,http://blocgame.com/stats.php?id=61263,,
Kritch,Zorn,Armat Corporation,12k active personnel,1 ships,Korean War surplus,Mad Dog,None,Undisciplined Rabble,online now,0 Hundred Tons per month,,Central Planning,$2128 million,233 Mbbl,Near Depletion,None,The Subcontinent,Soviet Union,46184 km 2,http://blocgame.com/stats.php?id=63155,,
Arina,Hakir,Interpol,73k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 4 hours ago,13 Hundred Tons per month,5 Mbbl per month,Free Market,$2116 million,338 Mbbl,Untapped,Very Powerful,Amazonia,United States,35808 km 2,http://blocgame.com/stats.php?id=54480,,
Inderapura,Lordfazal,PIRATES,87k active personnel,8 ships,Korean War surplus,Gandhi-like,3 factories,Good,online now,16 Hundred Tons per month,11 Mbbl per month,Free Market,$2115 million,224 Mbbl,Untapped,Very Powerful,East Indies,United States,16290 km 2,http://blocgame.com/stats.php?id=62928,5%,
kobisbunga,kobis,Brotherhood of Nod,65k active personnel,0 ships,Second World War surplus,Nice,1 factory,Good,last online 23 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$2102 million,51 Mbbl; 3 Mbbl,Untapped,Large,East Indies,United States,14548 km 2,http://blocgame.com/stats.php?id=61609,,
Rudenia,Supreme Leader,,6k active personnel,1 ships,Second World War surplus,Normal,3 factories,Good,last online 5 hours ago,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$2097 million,824 Mbbl; 5 Mbbl,,Mediocre,Arabia,Soviet Union,5935 km 2,http://blocgame.com/stats.php?id=47765,,
white shadow,White Shadow,The Order,61k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 11 hours ago,24 Hundred Tons per month,10 Mbbl per month,Free Market,$2097 million,1579 Mbbl; 10 Mbbl,Untapped,Somewhat Large,Persia,United States,20095 km 2,http://blocgame.com/stats.php?id=55012,,
Gobi,Saint Gobi,The Order,92k active personnel,7 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 13 hours ago,36 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$2092 million,213 Mbbl,Untapped,Large,Congo,United States,31225 km 2,http://blocgame.com/stats.php?id=61919,,
Senandung Malam,Lela Manja,PIRATES,98k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,13 Hundred Tons per month,14 Mbbl per month,Free Market,$2090 million,,Untapped,Very Powerful,East Indies,United States,10899 km 2,http://blocgame.com/stats.php?id=61074,,
SrpskaRepublika,Enoch Powell,The Order,58k active personnel,4 ships,Korean War surplus,Nice,3 factories,Good,last online 1 hours ago,29 Hundred Tons per month,11 Mbbl per month,Free Market,$2089 million,406 Mbbl,,Large,Southern Africa,United States,28380 km 2,http://blocgame.com/stats.php?id=63541,,
kitts,kids,PIRATES,17k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,11 Hundred Tons per month,9 Mbbl per month,Central Planning,$2089 million,162 Mbbl,Untapped,Very Powerful,China,Neutral,16500 km 2,http://blocgame.com/stats.php?id=64269,,
Bluegene/Q,ChevalierCavac,PIRATES,140k active personnel,7 ships,Vietnam War surplus,Gandhi-like,6 factories,Elite,last online 8 hours ago,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2081 million,2399 Mbbl; 12 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,35843 km 2,http://blocgame.com/stats.php?id=61506,,
Enggor Perak,meor,PIRATES,34k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,online now,16 Hundred Tons per month,2 Mbbl per month,Central Planning,$2076 million,441 Mbbl; 2 Mbbl,,Meagre,East Indies,Neutral,9971 km 2,http://blocgame.com/stats.php?id=60674,,
Laurence,Frezzerbloom,Brotherhood of Nod,108k active personnel,4 ships,Vietnam War surplus,Gandhi-like,3 factories,Elite,last online 29 hours ago,17 Hundred Tons per month,10 Mbbl per month,Central Planning,$2074 million,2406 Mbbl; 10 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,23990 km 2,http://blocgame.com/stats.php?id=49637,,1 Tons
