country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
kaptencheras,kaptencheras,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 74 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,,$266 million,,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60571,
Cinque,Makarov,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 151 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,,$266 million,,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60884,
Molfrika,McMol,http://blocgame.com/alliancestats.php?allianceid=2049,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 39 hours ago,rankings.php?subregion=ama,Brotherhood of Nod,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2049,,Amazonia,Untapped,None,http://blocgame.com/rankings.php?subregion=ama,20000 km 2,http://blocgame.com/stats.php?id=60920,
Tony Terry,sonicBOOM,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 118 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,,$266 million,,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60944,
Jalan Ampang,Haji Amril,http://blocgame.com/alliancestats.php?allianceid=2045,25k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 108 hours ago,rankings.php?subregion=ind,The Order,2 Hundred Tons per month,,$266 million,alliancestats.php?allianceid=2045,339 Mbbl,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60954,
Scorpions,Sarjan Blog,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 145 hours ago,rankings.php?subregion=waf,,3 Hundred Tons per month,1 Mbbl per month,$266 million,,1 Mbbl,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=61364,
Guerilla,mohdirfan,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 160 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,,$266 million,,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=61854,
rusua,dark__Warrior,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Elite,last online 155 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,,$266 million,,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62632,
Gomp,General Gomp,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 42 hours ago,rankings.php?subregion=mes,,2 Hundred Tons per month,2 Mbbl per month,$266 million,,1844 Mbbl; 2 Mbbl,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=62732,
Giordano,MR. DaddyCool,http://blocgame.com/alliancestats.php?allianceid=2064,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 59 hours ago,rankings.php?subregion=ara,SPQR,2 Hundred Tons per month,3 Mbbl per month,$266 million,alliancestats.php?allianceid=2064,6979 Mbbl; 3 Mbbl,Arabia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=62791,
