country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
south nation,presiden tote,PIRATES,70k active personnel,3 ships,Second World War surplus,Good,3 factories,Good,last online 2 hours ago,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$2434 million,385 Mbbl; 9 Mbbl,,Small,Pacific Rim,Soviet Union,42484 km 2,http://blocgame.com/stats.php?id=61911,,
Glubistan,Glub,SPQR,88k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 6 hours ago,25 Hundred Tons per month,13 Mbbl per month,Central Planning,$2421 million,1643 Mbbl; 13 Mbbl,Untapped,Large,Arabia,Soviet Union,24486 km 2,http://blocgame.com/stats.php?id=63027,,
Salama�a,Bacardi,The Order,56k active personnel,0 ships,Korean War surplus,Normal,2 factories,Elite,online now,21 Hundred Tons per month,8 Mbbl per month,Central Planning,$2421 million,133 Mbbl,Untapped,Somewhat Large,Southern Cone,Soviet Union,23972 km 2,http://blocgame.com/stats.php?id=63383,,
Cameronia,Cameron Saxonson,Steel Brotherhood,58k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 8 hours ago,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2415 million,298 Mbbl; 10 Mbbl,Untapped,Large,Southern Cone,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62688,,
Tamil Kingdom,Chola I,The Order,140k active personnel,13 ships,Vietnam War surplus,Angelic,5 factories,Good,online now,50 Hundred Tons per month,7 Mbbl per month,Central Planning,$2408 million,844 Mbbl; 7 Mbbl,Untapped,Large,The Subcontinent,Soviet Union,69095 km 2,http://blocgame.com/stats.php?id=60964,,
Junovia,dontworryaboutit,Interpol,60k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,24 Hundred Tons per month,7 Mbbl per month,Free Market,$2398 million,381 Mbbl; 7 Mbbl,Plentiful,Large,Pacific Rim,Neutral,20884 km 2,http://blocgame.com/stats.php?id=63088,,
Mzab,Cuma Thurman,Steel Brotherhood,83k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 3 hours ago,28 Hundred Tons per month,16 Mbbl per month,Central Planning,$2385 million,3951 Mbbl; 16 Mbbl,Untapped,Large,Atlas,Soviet Union,38538 km 2,http://blocgame.com/stats.php?id=63775,,5%
CTSKRR,CTSKRR,The Divine Council,19k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 16 hours ago,11 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$2337 million,227 Mbbl; 8 Mbbl,Untapped,Mediocre,China,Soviet Union,14830 km 2,http://blocgame.com/stats.php?id=60811,,
Mingland,mpetersen,Brotherhood of Nod,118k active personnel,9 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,29 Hundred Tons per month,13 Mbbl per month,Central Planning,$2336 million,297 Mbbl; 13 Mbbl,Untapped,Very Powerful,Southern Africa,Soviet Union,29330 km 2,http://blocgame.com/stats.php?id=63922,,
Mmhat,Homermustdie,The Divine Council,28k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,14 Hundred Tons per month,2 Mbbl per month,Free Market,$2325 million,119 Mbbl; 2 Mbbl,Untapped,Mediocre,Amazonia,United States,20400 km 2,http://blocgame.com/stats.php?id=45846,,
Byzantium,The Wolf,Steel Brotherhood,85k active personnel,5 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 6 hours ago,33 Hundred Tons per month,14 Mbbl per month,Free Market,$2323 million,5911 Mbbl,Untapped,Very Powerful,Mesopotamia,United States,41409 km 2,http://blocgame.com/stats.php?id=41125,,
