country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Persifio,Muizzuddin,,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 2 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$532 million,623 Mbbl,Untapped,Meagre,Pacific Rim,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=61664,,
MTNRGuania,mtnrg,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Elite,last online 152 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$530 million,22 Mbbl; 1 Mbbl,Untapped,None,Amazonia,Neutral,11231 km 2,http://blocgame.com/stats.php?id=41236,,
Enggor Perak,meor,,21k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 18 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$527 million,251 Mbbl; 2 Mbbl,Near Depletion,None,East Indies,Soviet Union,14503 km 2,http://blocgame.com/stats.php?id=60674,,
Fantastica,Tantayo,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 5 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$527 million,3 Mbbl,Untapped,None,China,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=60828,,
Jitra,feemerrkoll,The Order,15k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 11 hours ago,11 Hundred Tons per month,3 Mbbl per month,Central Planning,$527 million,3 Mbbl,Plentiful,Meagre,East Africa,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62661,,
Gerik,SeaQuest,,13k active personnel,0 ships,First World War surplus,Nice,1 factory,Undisciplined Rabble,last online 15 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$527 million,119 Mbbl,Untapped,None,Pacific Rim,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=62864,,
Free Persia,Trump,,38k active personnel,0 ships,Second World War surplus,Angelic,None,Poor,last online 6 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$527 million,2120 Mbbl; 2 Mbbl,,None,Persia,United States,13454 km 2,http://blocgame.com/stats.php?id=62875,,
Melengkar Alam,Raja dewata,The High Council,60k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,24 Hundred Tons per month,13 Mbbl per month,Central Planning,$526 million,5256 Mbbl; 13 Mbbl,,Meagre,Arabia,Soviet Union,28235 km 2,http://blocgame.com/stats.php?id=60554,,
Frostyputania,Frostyputa,The Order,50k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,7 Hundred Tons per month,1 Mbbl per month,Central Planning,$525 million,354 Mbbl; 1 Mbbl,Untapped,Mediocre,Gran Colombia,Neutral,23665 km 2,http://blocgame.com/stats.php?id=42065,,
Myhouse,Dolbys,The United Nations,98k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 4 hours ago,21 Hundred Tons per month,1 Mbbl per month,Central Planning,$525 million,356 Mbbl; 1 Mbbl,Untapped,Somewhat Large,Amazonia,United States,32511 km 2,http://blocgame.com/stats.php?id=64089,,
Slothman,Slothman,African Union,7k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Good,last online 105 hours ago,5 Hundred Tons per month,,Central Planning,$523 million,122 Mbbl,Untapped,None,East Africa,Neutral,15288 km 2,http://blocgame.com/stats.php?id=62376,,
Scorvia,ShadyWolf313,Che Guevara League,49k active personnel,0 ships,First World War surplus,Pariah,None,Poor,last online 10 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$521 million,452 Mbbl; 1 Mbbl,Near Depletion,None,Gran Colombia,Soviet Union,15850 km 2,http://blocgame.com/stats.php?id=64062,,
Gallifrey,The Doctor,Steel Brotherhood,8k active personnel,0 ships,Finest of the 19th century,Nice,None,Poor,last online 5 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$520 million,369 Mbbl; 2 Mbbl,Untapped,None,Southern Cone,Neutral,16172 km 2,http://blocgame.com/stats.php?id=40351,,
Nigiria,Tripster60,The United Nations,42k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,10 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$520 million,329 Mbbl,,Small,West Africa,United States,19452 km 2,http://blocgame.com/stats.php?id=46929,,
Nhayat,Nhayat,The Order,61k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,19 Hundred Tons per month,5 Mbbl per month,Central Planning,$520 million,265 Mbbl; 5 Mbbl,Untapped,Large,Caribbean,Soviet Union,38958 km 2,http://blocgame.com/stats.php?id=62666,,
Delos,Damocles,Che Guevara League,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 131 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$520 million,457 Mbbl; 1 Mbbl,Untapped,Meagre,Gran Colombia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63002,,
Eneficus,Eneficusian Firestar,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 54 hours ago,4 Hundred Tons per month,,Central Planning,$520 million,309 Mbbl,Untapped,Meagre,China,Neutral,11231 km 2,http://blocgame.com/stats.php?id=64046,,
pengkalan chepa,sultan pali,,3k active personnel,0 ships,First World War surplus,Questionable,None,Undisciplined Rabble,last online 2 hours ago,2 Hundred Tons per month,,Free Market,$519 million,141 Mbbl,Untapped,None,East Indies,Neutral,9361 km 2,http://blocgame.com/stats.php?id=60742,,
Parit Sayang,Penghulu Seman,,90k active personnel,0 ships,First World War surplus,Angelic,2 factories,Good,last online 2 hours ago,37 Hundred Tons per month,11 Mbbl per month,Free Market,$517 million,136 Mbbl; 11 Mbbl,Untapped,Large,East Indies,United States,37830 km 2,http://blocgame.com/stats.php?id=60573,,
