country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Lolesco,Lolesco,The Order,88k active personnel,1 ships,Korean War surplus,Questionable,3 factories,Standard,online now,56 Hundred Tons per month,15 Mbbl per month,Free Market,$1324 million,2948 Mbbl; 15 Mbbl,Plentiful,Somewhat Large,Mesopotamia,United States,46300 km 2,http://blocgame.com/stats.php?id=48289,,
DFWEFWEF,dmc5,Interpol,88k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 6 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$1318 million,5019 Mbbl; 6 Mbbl,,Somewhat Large,Arabia,Soviet Union,38501 km 2,http://blocgame.com/stats.php?id=55118,,
Vursian,Amirul Izzat,PIRATES,44k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 15 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1317 million,22 Mbbl,Untapped,Large,East Indies,Soviet Union,16435 km 2,http://blocgame.com/stats.php?id=62540,,
House Tyrell,Mace Tyrell,Illuminati,5k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 15 hours ago,9 Hundred Tons per month,9 Mbbl per month,Free Market,$1316 million,401 Mbbl; 9 Mbbl,Plentiful,None,Arabia,United States,7645 km 2,http://blocgame.com/stats.php?id=64093,,
fotamorgana,nadim,Steel Brotherhood,16k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Poor,last online 72 hours ago,3 Hundred Tons per month,4 Mbbl per month,Central Planning,$1315 million,273 Mbbl; 4 Mbbl,Untapped,Meagre,East Indies,United States,5051 km 2,http://blocgame.com/stats.php?id=62833,,
Shekel Land,Sheklesteinthefourth,The Order,102k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 2 hours ago,28 Hundred Tons per month,13 Mbbl per month,Central Planning,$1307 million,6353 Mbbl; 13 Mbbl,Untapped,Very Powerful,Egypt,Soviet Union,49274 km 2,http://blocgame.com/stats.php?id=54689,,
Middlewest,BigBross,The Khilafah,68k active personnel,0 ships,First World War surplus,Nice,1 factory,Standard,online now,15 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$1303 million,2800 Mbbl,Plentiful,Large,Mesopotamia,Neutral,14538 km 2,http://blocgame.com/stats.php?id=63635,,
Opallia,Opal,The Order,105k active personnel,7 ships,Second World War surplus,Angelic,2 factories,Good,last online 1 hours ago,25 Hundred Tons per month,4 Mbbl per month,Free Market,$1303 million,249 Mbbl,Untapped,Large,Mesoamerica,United States,39273 km 2,http://blocgame.com/stats.php?id=63666,,
Walmart,Jeddy,The Order,130k active personnel,3 ships,Second World War surplus,Gandhi-like,4 factories,Elite,last online 1 hours ago,50 Hundred Tons per month,20 Mbbl per month,Central Planning,$1302 million,339 Mbbl; 20 Mbbl,Untapped,Very Powerful,China,Soviet Union,58189 km 2,http://blocgame.com/stats.php?id=57903,,
Praetoria Augusta,Lykos,SPQR,166k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,online now,30 Hundred Tons per month,20 Mbbl per month,Central Planning,$1297 million,8570 Mbbl; 20 Mbbl,,Powerful,Mesopotamia,Soviet Union,38899 km 2,http://blocgame.com/stats.php?id=39021,,
