country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
Allaah,Ataullah,,8k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 104 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$442 million,2432 Mbbl; 2 Mbbl,Untapped,None,,Arabia,Soviet Union,19273 km 2,http://blocgame.com/stats.php?id=63747
Inferia,Alexkovisk,Divine League,27k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,online now,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$441 million,262 Mbbl; 1 Mbbl,,None,,Mesoamerica,Neutral,18946 km 2,http://blocgame.com/stats.php?id=60789
Wick,goku69587,The High Council,9k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 4 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$441 million,1 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=62241
TrumpWeedistan,danktrump,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 145 hours ago,4 Hundred Tons per month,,Central Planning,$441 million,,Untapped,None,,Congo,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63354
South Park,cartman,Brotherhood of Zion,12k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 4 hours ago,4 Hundred Tons per month,1 Mbbl per month,Free Market,$440 million,476 Mbbl,Untapped,None,,Caribbean,United States,22926 km 2,http://blocgame.com/stats.php?id=228
Rararaland,Whiskertoes,The Order,35k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 11 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$440 million,4747 Mbbl; 1 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,27165 km 2,http://blocgame.com/stats.php?id=49272
Riches,Richyrich,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 150 hours ago,4 Hundred Tons per month,,Mixed Economy,$440 million,,Untapped,None,,China,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63003
Pan-demo-nium,Raja,The Order,41k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$440 million,174 Mbbl; 2 Mbbl,,Small,,The Subcontinent,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=63195
Hells Angel,Avangarde,The Order,35k active personnel,0 ships,Finest of the 19th century,Normal,None,Good,last online 8 hours ago,12 Hundred Tons per month,2 Mbbl per month,Central Planning,$440 million,424 Mbbl; 2 Mbbl,Untapped,Meagre,,Guinea,Soviet Union,27493 km 2,http://blocgame.com/stats.php?id=63923
Bortland,Bort,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 169 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$439 million,159 Mbbl; 1 Mbbl,Untapped,None,,East Africa,Neutral,16500 km 2,http://blocgame.com/stats.php?id=57906
Kamikazie,kamikazie,Interpol,42k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 3 hours ago,4 Hundred Tons per month,3 Mbbl per month,Free Market,$439 million,247 Mbbl,Untapped,Mediocre,,Egypt,United States,30995 km 2,http://blocgame.com/stats.php?id=61783
Olivera,Karl Liebknecht,Che Guevara League,16k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 2 hours ago,5 Hundred Tons per month,3 Mbbl per month,Central Planning,$439 million,281 Mbbl; 3 Mbbl,Untapped,Meagre,,Gran Colombia,Neutral,13477 km 2,http://blocgame.com/stats.php?id=63174
Tano,geox123,The Order,9k active personnel,0 ships,Finest of the 19th century,Good,None,Elite,last online 75 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$439 million,258 Mbbl,Untapped,None,,Caribbean,United States,16667 km 2,http://blocgame.com/stats.php?id=63400
Kommandostan,plerer,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 58 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$438 million,2135 Mbbl,Untapped,None,,Mesopotamia,Neutral,13477 km 2,http://blocgame.com/stats.php?id=61002
Senglia,mreid2112,Farmington Brigade,9k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 12 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$438 million,2 Mbbl,Untapped,Meagre,,Indochina,Soviet Union,13644 km 2,http://blocgame.com/stats.php?id=62920
honoraryans,mister,The Order,14k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 143 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$438 million,100 Mbbl; 1 Mbbl,Untapped,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63471
WUBstep,WUBstep,Brotherhood of Nod,45k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 3 hours ago,18 Hundred Tons per month,14 Mbbl per month,Central Planning,$437 million,4471 Mbbl; 14 Mbbl,Untapped,Mediocre,,Persia,Soviet Union,27928 km 2,http://blocgame.com/stats.php?id=39023
Endau,Syazwanjalil,PIRATES,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 1 hours ago,7 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$437 million,211 Mbbl,Untapped,Meagre,,East Indies,United States,20000 km 2,http://blocgame.com/stats.php?id=61932
KhazarBank,MoneyBags,League of Christ,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 103 hours ago,3 Hundred Tons per month,,Central Planning,$437 million,92 Mbbl,Untapped,Meagre,,The Subcontinent,United States,13210 km 2,http://blocgame.com/stats.php?id=62181
Worthless Sand,Spirit of Saddam Hussein,Brotherhood of Nod,19k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 4 hours ago,8 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$437 million,3741 Mbbl; 2 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63192
August,Keile,,9k active personnel,0 ships,Finest of the 19th century,Angelic,None,Good,last online 96 hours ago,4 Hundred Tons per month,4 Mbbl per month,Free Market,$437 million,3972 Mbbl,Untapped,None,,Egypt,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=63439
Brunstovia,Zat Other Guy,The Order,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 115 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$436 million,329 Mbbl; 1 Mbbl,Untapped,Meagre,,China,United States,16335 km 2,http://blocgame.com/stats.php?id=62648
Hedjaz,Abdul Wahhab,Al-Qassam Brigades,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Elite,last online 138 hours ago,2 Hundred Tons per month,,Mixed Economy,$435 million,,Untapped,None,,Mesopotamia,Neutral,16337 km 2,http://blocgame.com/stats.php?id=49882
One Star,Neku,The High Council,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 3 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$435 million,1716 Mbbl; 1 Mbbl,Plentiful,Meagre,,Persia,United States,19800 km 2,http://blocgame.com/stats.php?id=57783
Jarhead,Jarhead99,,15k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 107 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$435 million,481 Mbbl; 1 Mbbl,Untapped,Small,,Amazonia,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=59874
Romiia,The Great Tiberius III,The Order,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 40 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$435 million,365 Mbbl; 2 Mbbl,Untapped,None,,The Subcontinent,Soviet Union,24028 km 2,http://blocgame.com/stats.php?id=60242
FeminaziNig,thegagnes11,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 154 hours ago,2 Hundred Tons per month,,Mixed Economy,$434 million,,Untapped,None,,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=55784
Apokalyptom,Luakoo,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 11 hours ago,2 Hundred Tons per month,,Mixed Economy,$434 million,,Untapped,None,,Pacific Rim,Neutral,13342 km 2,http://blocgame.com/stats.php?id=58585
Dreaming,Koharu,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 149 hours ago,2 Hundred Tons per month,,Mixed Economy,$434 million,,Untapped,None,,Southern Africa,Neutral,16335 km 2,http://blocgame.com/stats.php?id=58891
Khalifah,Appi jaafar,The High Council,31k active personnel,0 ships,First World War surplus,Pariah,1 factory,Poor,last online 3 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$434 million,435 Mbbl; 4 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,20200 km 2,http://blocgame.com/stats.php?id=62665
Ronkonia,Ronkinator,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 155 hours ago,2 Hundred Tons per month,,Central Planning,$434 million,,Untapped,None,,Southern Cone,Neutral,16418 km 2,http://blocgame.com/stats.php?id=63162
Lamborghinia,Massimo Marchese,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 125 hours ago,2 Hundred Tons per month,,Free Market,$434 million,,Untapped,None,,Persia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63287
Coccoladia,Ernesto Caprone,The Federal Colonies,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 11 hours ago,10 Hundred Tons per month,1 Mbbl per month,Central Planning,$433 million,144 Mbbl; 1 Mbbl,Untapped,Meagre,,Caribbean,Soviet Union,27330 km 2,http://blocgame.com/stats.php?id=40289
Tendong,kijang,,3k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 7 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$433 million,,Untapped,None,,Pacific Rim,Soviet Union,13613 km 2,http://blocgame.com/stats.php?id=62178
Red Crazyguy,Red Crazyguy,,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 17 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$433 million,230 Mbbl; 5 Mbbl,Untapped,Somewhat Large,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62314
Dredd\\\'s,Dredd,Brotherhood of Nod,36k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 8 hours ago,6 Hundred Tons per month,7 Mbbl per month,Central Planning,$433 million,3312 Mbbl; 7 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,27330 km 2,http://blocgame.com/stats.php?id=62798
rio de la plata,karl franz,Lithuanian Coalition,6k active personnel,0 ships,First World War surplus,Good,None,Elite,online now,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$433 million,140 Mbbl,Near Depletion,None,,Southern Cone,Soviet Union,18214 km 2,http://blocgame.com/stats.php?id=63051
Diptheria,Dompers,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 146 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$433 million,3404 Mbbl; 1 Mbbl,Untapped,None,,Mesopotamia,Neutral,19602 km 2,http://blocgame.com/stats.php?id=63277
Transmekong,Prabang,,37k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 13 hours ago,5 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$432 million,468 Mbbl,,Meagre,,Indochina,United States,20186 km 2,http://blocgame.com/stats.php?id=40195
Sandniggeristan,King Negro,The Order,29k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,last online 14 hours ago,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$432 million,3675 Mbbl; 5 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,20600 km 2,http://blocgame.com/stats.php?id=63365
Malayantribes,Fir1999,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 93 hours ago,4 Hundred Tons per month,,Free Market,$431 million,,Untapped,None,,East Indies,Neutral,16335 km 2,http://blocgame.com/stats.php?id=60721
Kachan,Chłodna Kaczka,Lithuanian Coalition,5k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 81 hours ago,7 Hundred Tons per month,15 Mbbl per month,Central Planning,$431 million,2807 Mbbl; 15 Mbbl,Untapped,Small,,Atlas,Soviet Union,25255 km 2,http://blocgame.com/stats.php?id=62963
Haxeltopia,Haxel,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 8 hours ago,4 Hundred Tons per month,4 Mbbl per month,Free Market,$431 million,94 Mbbl,Untapped,None,,Caribbean,United States,13477 km 2,http://blocgame.com/stats.php?id=63063
Godak,Blaze_kill,Godak Union,18k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 155 hours ago,4 Hundred Tons per month,,Mixed Economy,$431 million,,Untapped,None,,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63158
New Granada,Huey Long,The Order,30k active personnel,0 ships,Finest of the 19th century,Good,1 factory,Good,last online 5 hours ago,7 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$431 million,320 Mbbl,Untapped,Meagre,,Southern Cone,United States,24226 km 2,http://blocgame.com/stats.php?id=63401
Soviet Pacific,Alexandrov Britvy,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 142 hours ago,2 Hundred Tons per month,,Mixed Economy,$430 million,,Untapped,None,,Pacific Rim,Neutral,16335 km 2,http://blocgame.com/stats.php?id=52809
Zarbia,Gorhonen,,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 129 hours ago,3 Hundred Tons per month,,Free Market,$430 million,,Untapped,None,,Congo,Neutral,13477 km 2,http://blocgame.com/stats.php?id=62679
Supercell,Charlotte,The Federal Colonies,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 76 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$429 million,,Untapped,None,,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=48901
XDXDXD,MalaysianMaster,Brotherhood of Zion,27k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,3 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$429 million,3637 Mbbl; 3 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=61521
Stone,Pak Ann,The Order,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 106 hours ago,7 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$429 million,331 Mbbl; 1 Mbbl,Untapped,None,,East Indies,United States,16335 km 2,http://blocgame.com/stats.php?id=62672
komrade,ewl4,,2k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Standard,last online 39 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$429 million,267 Mbbl,Plentiful,None,,The Subcontinent,Soviet Union,19212 km 2,http://blocgame.com/stats.php?id=63596
Einstinia,Einstinium,The Order,37k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Good,last online 104 hours ago,6 Hundred Tons per month,2 Mbbl per month,Free Market,$428 million,154 Mbbl,Untapped,None,,Congo,Neutral,23828 km 2,http://blocgame.com/stats.php?id=53498
Best Thougestan,Number1SUS,Brotherhood of Nod,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 159 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$428 million,4870 Mbbl,Untapped,None,,Egypt,United States,16010 km 2,http://blocgame.com/stats.php?id=61250
New Wadowice,anone2137,Lithuanian Coalition,27k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 5 hours ago,5 Hundred Tons per month,7 Mbbl per month,Central Planning,$428 million,1544 Mbbl; 7 Mbbl,Plentiful,Small,,Atlas,Soviet Union,28073 km 2,http://blocgame.com/stats.php?id=61637
Alorian,Azril91,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 1 hours ago,10 Hundred Tons per month,5 Mbbl per month,Central Planning,$428 million,215 Mbbl; 5 Mbbl,Untapped,None,,Pacific Rim,United States,13343 km 2,http://blocgame.com/stats.php?id=61749
bird land,birdjoseph,,5k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 152 hours ago,2 Hundred Tons per month,,Mixed Economy,$428 million,,Untapped,None,,China,Neutral,16417 km 2,http://blocgame.com/stats.php?id=61878
West Pacific,Thunder Eagle,Non-Aligned Movement,8k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Elite,last online 1 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$428 million,389 Mbbl; 1 Mbbl,Untapped,None,,Pacific Rim,Neutral,13343 km 2,http://blocgame.com/stats.php?id=62429
Inderapura,Lordfazal,PIRATES,28k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 13 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$428 million,68 Mbbl,Untapped,Small,,East Indies,United States,16010 km 2,http://blocgame.com/stats.php?id=62928
Zen killer,Jermainecrazy2157,The High Council,41k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 44 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$428 million,354 Mbbl; 2 Mbbl,Untapped,Meagre,,Pacific Rim,Soviet Union,29998 km 2,http://blocgame.com/stats.php?id=63107
Cappadocia,Justinian III,The Order,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 95 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$428 million,2 Mbbl,Untapped,None,,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63494
Northmarch,Elroy,PIRATES,26k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Standard,online now,10 Hundred Tons per month,,Central Planning,$427 million,,Untapped,None,,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=41629
Tetsunoshima,Greyjoy,,37k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 8 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$427 million,301 Mbbl; 1 Mbbl,Untapped,Meagre,,Pacific Rim,Neutral,23665 km 2,http://blocgame.com/stats.php?id=47444
Black Widow,Protego,The Order,33k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 5 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$427 million,4477 Mbbl; 5 Mbbl,Untapped,Meagre,,Arabia,Soviet Union,28336 km 2,http://blocgame.com/stats.php?id=62290
Schlong Island,Jakovsky,The Order,10k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Good,last online 107 hours ago,4 Hundred Tons per month,1 Mbbl per month,Free Market,$427 million,343 Mbbl,Untapped,Small,,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63243
Casopia,Nathaniel Baker,The Order,18k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 15 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$427 million,262 Mbbl; 2 Mbbl,Untapped,None,,Gran Colombia,Neutral,19800 km 2,http://blocgame.com/stats.php?id=63500
3fylon,Nolyf3,,10k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 125 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$427 million,1 Mbbl,Untapped,None,,China,Neutral,16500 km 2,http://blocgame.com/stats.php?id=63732
Esboslavia,Swatbot26,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 101 hours ago,2 Hundred Tons per month,,Central Planning,$426 million,,Untapped,Meagre,,Caribbean,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=57376
BlackPowers,Declan Power,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 166 hours ago,2 Hundred Tons per month,,Mixed Economy,$426 million,,Untapped,None,,Egypt,Neutral,13613 km 2,http://blocgame.com/stats.php?id=57639
Kgkerambit,Mrqayyum,The Order,41k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 6 hours ago,14 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$426 million,192 Mbbl; 6 Mbbl,Untapped,Small,,East Indies,United States,27165 km 2,http://blocgame.com/stats.php?id=61014
Drelinka,Catheline lebran,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 57 hours ago,2 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$426 million,3203 Mbbl,Untapped,Meagre,,Persia,Neutral,13477 km 2,http://blocgame.com/stats.php?id=61556
Ghost,Kaali,The Order,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,5 Hundred Tons per month,7 Mbbl per month,Free Market,$426 million,3997 Mbbl,Plentiful,Small,,Arabia,United States,24366 km 2,http://blocgame.com/stats.php?id=63068
Nuwe Europa,Kruger,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 124 hours ago,3 Hundred Tons per month,,Free Market,$426 million,,Untapped,None,,Southern Africa,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63530
Seattle,supercurt37,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 150 hours ago,2 Hundred Tons per month,,Mixed Economy,$425 million,,Untapped,None,,China,Neutral,16335 km 2,http://blocgame.com/stats.php?id=57842
Infernistan,Inferno JR,,43k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,online now,3 Hundred Tons per month,6 Mbbl per month,Central Planning,$425 million,4038 Mbbl; 6 Mbbl,,Meagre,,Egypt,Soviet Union,16471 km 2,http://blocgame.com/stats.php?id=60304
Kedahan,Farhan,,5k active personnel,0 ships,First World War surplus,Angelic,1 factory,Standard,last online 1 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$425 million,59 Mbbl,Untapped,None,,East Indies,United States,19602 km 2,http://blocgame.com/stats.php?id=60758
MalayaMMP,zazammu86,,4k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 26 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$425 million,39 Mbbl; 1 Mbbl,Untapped,Meagre,,Pacific Rim,United States,15850 km 2,http://blocgame.com/stats.php?id=62383
Psilocybis,Lysergix,Brotherhood of Nod,24k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 7 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$425 million,1412 Mbbl; 4 Mbbl,,Meagre,,Persia,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62795
swahilia,benkenobi7,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 110 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$425 million,3 Mbbl,Untapped,None,,Egypt,Neutral,13477 km 2,http://blocgame.com/stats.php?id=63085
Lomar,Sarnen,Brotherhood of Zion,26k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$425 million,2972 Mbbl,Untapped,Meagre,,Mesopotamia,United States,20000 km 2,http://blocgame.com/stats.php?id=63175
Lorigan,Lorigan,The High Council,35k active personnel,0 ships,First World War surplus,Normal,1 factory,Good,last online 5 hours ago,7 Hundred Tons per month,7 Mbbl per month,Central Planning,$424 million,429 Mbbl; 7 Mbbl,Untapped,Mediocre,,Amazonia,Soviet Union,30830 km 2,http://blocgame.com/stats.php?id=59787
Zalkanir,Delkamar,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 86 hours ago,2 Hundred Tons per month,,Central Planning,$424 million,,Untapped,None,,China,Neutral,13343 km 2,http://blocgame.com/stats.php?id=62483
YellowLand,TheChosenOne,Divine League,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 89 hours ago,2 Hundred Tons per month,,Central Planning,$424 million,,Untapped,None,,Mesopotamia,Neutral,13342 km 2,http://blocgame.com/stats.php?id=62722
Cucklandi,Cuckcold420,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 145 hours ago,2 Hundred Tons per month,,Mixed Economy,$424 million,,Untapped,None,,Congo,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63355
South Minnesota,Generalissimo Alpun,,19k active personnel,0 ships,First World War surplus,Normal,1 factory,Standard,last online 1 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$424 million,117 Mbbl,,Meagre,,Gran Colombia,Neutral,16245 km 2,http://blocgame.com/stats.php?id=63460
El Janero,Savagely Ravaged,,3k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 138 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$424 million,1 Mbbl,Untapped,None,,Southern Cone,Neutral,19212 km 2,http://blocgame.com/stats.php?id=63615
Chaouenne,pyrignis,The High Council,40k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$423 million,2735 Mbbl; 4 Mbbl,Untapped,Mediocre,1 Tons,Atlas,Soviet Union,27656 km 2,http://blocgame.com/stats.php?id=42019
Roskaposti,Mitt Romney XIIV,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 74 hours ago,2 Hundred Tons per month,,Mixed Economy,$423 million,,Untapped,None,,Pacific Rim,Neutral,13477 km 2,http://blocgame.com/stats.php?id=50604
Spratly,asy_syakir,,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 146 hours ago,5 Hundred Tons per month,1 Mbbl per month,Free Market,$423 million,337 Mbbl; 1 Mbbl,Untapped,Meagre,,Persia,United States,15850 km 2,http://blocgame.com/stats.php?id=60451
Titiwangsa,Orga,PIRATES,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$423 million,152 Mbbl; 2 Mbbl,,Mediocre,1 Tons,East Indies,United States,19897 km 2,http://blocgame.com/stats.php?id=61596
fotamorgana,nadim,,16k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 18 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$423 million,1 Mbbl,Untapped,None,,East Indies,United States,16335 km 2,http://blocgame.com/stats.php?id=62833
Saint Benedict,Most Rev Cassian,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 155 hours ago,2 Hundred Tons per month,,Central Planning,$423 million,,Untapped,None,,Egypt,Neutral,16172 km 2,http://blocgame.com/stats.php?id=63173
Perthro,Nadir Spitfire Shah,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 166 hours ago,2 Hundred Tons per month,,Mixed Economy,$422 million,,Untapped,None,,Persia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=50936
Cecoe,JamesK,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 156 hours ago,2 Hundred Tons per month,,Mixed Economy,$422 million,,Untapped,None,,Southern Cone,Neutral,16335 km 2,http://blocgame.com/stats.php?id=57441
