country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Mingland,mpetersen,Brotherhood of Nod,138k active personnel,9 ships,Second World War surplus,Angelic,3 factories,Good,last online 7 hours ago,29 Hundred Tons per month,13 Mbbl per month,Central Planning,$2362 million,271 Mbbl; 13 Mbbl,Untapped,Very Powerful,,Southern Africa,Soviet Union,29330 km 2,http://blocgame.com/stats.php?id=63922,
Sepidajistan,Shah Squid,Steel Brotherhood,39k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$2349 million,3671 Mbbl; 2 Mbbl,,Powerful,,Atlas,Soviet Union,13917 km 2,http://blocgame.com/stats.php?id=59462,
Sintra,Daniel Lima,The Order,85k active personnel,6 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 12 hours ago,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2343 million,6 Mbbl; 12 Mbbl,Untapped,Somewhat Large,,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,
Lubekran,septima,Interpol,6k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$2335 million,446 Mbbl; 5 Mbbl,Untapped,Large,,Indochina,Soviet Union,7937 km 2,http://blocgame.com/stats.php?id=62568,
The NLR,Darknight,The Order,90k active personnel,8 ships,Korean War surplus,Angelic,3 factories,Good,last online 4 hours ago,65 Hundred Tons per month,5 Mbbl per month,Central Planning,$2307 million,106 Mbbl; 5 Mbbl,Untapped,Very Powerful,,Congo,Soviet Union,56545 km 2,http://blocgame.com/stats.php?id=49701,
Alexandrastan,TWAIN,Brotherhood of Nod,55k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 7 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2299 million,1844 Mbbl; 6 Mbbl,Untapped,Somewhat Large,,Mesopotamia,United States,28361 km 2,http://blocgame.com/stats.php?id=39070,
Southern Africa,TheMaster_ZA,The Order,88k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 9 hours ago,36 Hundred Tons per month,5 Mbbl per month,Central Planning,$2298 million,140 Mbbl,Untapped,Powerful,,Southern Africa,Soviet Union,49553 km 2,http://blocgame.com/stats.php?id=48410,
Lombardy,Aistulf,The Order,68k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 4 hours ago,20 Hundred Tons per month,18 Mbbl per month,Free Market,$2296 million,7811 Mbbl,Untapped,Large,,Persia,United States,51308 km 2,http://blocgame.com/stats.php?id=63882,
Conrad,Waled,SPQR,90k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,20 Hundred Tons per month,16 Mbbl per month,Central Planning,$2287 million,4384 Mbbl; 16 Mbbl,Near Depletion,Large,,Egypt,Soviet Union,17722 km 2,http://blocgame.com/stats.php?id=62640,5%
Jemut,iwaniman/Ferozz,PIRATES,70k active personnel,6 ships,Second World War surplus,Good,5 factories,Elite,online now,25 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$2283 million,213 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,38547 km 2,http://blocgame.com/stats.php?id=61811,
