country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Soviet Prussia,PrussNet,Pact of Red October,24k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 1 hours ago,6 Hundred Tons per month,4 Mbbl per month,Central Planning,$412 million,472 Mbbl; 4 Mbbl,,Meagre,,Pacific Rim,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=64882,
Nascour,POlos,,2k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 33 hours ago,2 Hundred Tons per month,,Mixed Economy,$409 million,,Untapped,None,,Mesoamerica,Neutral,19400 km 2,http://blocgame.com/stats.php?id=64525,
Nazi Empire,Fuhrer Stafford,,29k active personnel,0 ships,First World War surplus,Good,1 factory,Good,last online 80 hours ago,3 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$408 million,310 Mbbl,Untapped,Small,,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64819,
Rojavay�,Ocalan,Socialist Arab Union,39k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 6 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$407 million,1774 Mbbl,Untapped,Mediocre,,Mesopotamia,Neutral,23665 km 2,http://blocgame.com/stats.php?id=64788,
pasemboq,DiDi29,PIRATES,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 8 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$407 million,445 Mbbl; 2 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64845,
Lhaos,Adrian,,1k active personnel,0 ships,First World War surplus,Good,1 factory,Standard,last online 10 hours ago,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$407 million,438 Mbbl; 1 Mbbl,Untapped,Meagre,,Indochina,Neutral,23540 km 2,http://blocgame.com/stats.php?id=65016,
patelstan,Patel2000,Steel Brotherhood,15k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 16 hours ago,10 Hundred Tons per month,12 Mbbl per month,Central Planning,$406 million,2944 Mbbl; 12 Mbbl,Untapped,None,,Egypt,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=58837,
Vape,amira,Socialist Arab Union,43k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$405 million,3278 Mbbl,Untapped,Powerful,,Arabia,Soviet Union,22057 km 2,http://blocgame.com/stats.php?id=62642,
Gabenistan,Aditya,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 100 hours ago,2 Hundred Tons per month,,Central Planning,$405 million,,Untapped,None,,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64453,
Rolekia,ApexSean,The Warmongers,21k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 15 hours ago,4 Hundred Tons per month,1 Mbbl per month,Free Market,$403 million,368 Mbbl,Untapped,Meagre,,Caribbean,United States,26516 km 2,http://blocgame.com/stats.php?id=64821,
Ussk,Sabariahhisham,PIRATES,7k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,last online 6 hours ago,7 Hundred Tons per month,6 Mbbl per month,Free Market,$335 million,1001 Mbbl,,Mediocre,,Arabia,United States,15230 km 2,http://blocgame.com/stats.php?id=62132,
DaSanese,DaSa,The Order,31k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,last online 13 hours ago,6 Hundred Tons per month,1 Mbbl per month,Central Planning,$402 million,415 Mbbl; 1 Mbbl,Untapped,Mediocre,,Amazonia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64610,
Haramia,HARAMNOTHALAL,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 159 hours ago,2 Hundred Tons per month,,Mixed Economy,$401 million,,Untapped,None,,Arabia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=52802,
kutu_babi,Kasspars,,10k active personnel,0 ships,Second World War surplus,Questionable,1 factory,Poor,online now,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$400 million,192 Mbbl; 1 Mbbl,Untapped,None,,Pacific Rim,Soviet Union,16317 km 2,http://blocgame.com/stats.php?id=64636,
Shekeltopia,Adolf Kekler,The Order,36k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 32 hours ago,9 Hundred Tons per month,8 Mbbl per month,Central Planning,$400 million,323 Mbbl; 8 Mbbl,Untapped,Small,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64775,
Sernabia,RandomHumanBeing,,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 54 hours ago,2 Hundred Tons per month,,Free Market,$400 million,,Untapped,None,,China,Neutral,19800 km 2,http://blocgame.com/stats.php?id=64906,
Guy Sebastian,Die4Guy2003,,5k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 93 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$399 million,1 Mbbl,Untapped,None,,Pacific Rim,United States,16335 km 2,http://blocgame.com/stats.php?id=63582,
bombingsymy,Tahla6969,,7k active personnel,0 ships,First World War surplus,Good,None,Poor,last online 4 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$399 million,256 Mbbl; 1 Mbbl,Untapped,None,,Pacific Rim,Neutral,9914 km 2,http://blocgame.com/stats.php?id=64477,
People Struggle,patriafedi,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 144 hours ago,2 Hundred Tons per month,,Central Planning,$399 million,386 Mbbl,Untapped,None,,Indochina,Soviet Union,16500 km 2,http://blocgame.com/stats.php?id=64883,
Kateriae,redsky,The Order,42k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 2 hours ago,5 Hundred Tons per month,1 Mbbl per month,Free Market,$397 million,482 Mbbl,Untapped,Mediocre,,Guinea,United States,23048 km 2,http://blocgame.com/stats.php?id=64503,
Belac,Belac,The Federal Colonies,4k active personnel,0 ships,First World War surplus,Angelic,None,Undisciplined Rabble,last online 102 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$396 million,157 Mbbl; 1 Mbbl,Untapped,None,,Caribbean,Neutral,13210 km 2,http://blocgame.com/stats.php?id=64183,
dendiface,dendiface,,8k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 5 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$394 million,2531 Mbbl; 2 Mbbl,Untapped,None,,Atlas,Neutral,13250 km 2,http://blocgame.com/stats.php?id=64319,
Bluedenstone,Patelman,Steel Brotherhood,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 27 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$393 million,327 Mbbl; 2 Mbbl,Untapped,None,,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=58045,
Colomba,Musol,,9k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 33 hours ago,2 Hundred Tons per month,,Mixed Economy,$393 million,,Untapped,None,,Gran Colombia,Neutral,19700 km 2,http://blocgame.com/stats.php?id=64530,
shoza,afi fateh,,30k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 8 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$393 million,295 Mbbl,Untapped,Meagre,,East Indies,Soviet Union,13342 km 2,http://blocgame.com/stats.php?id=64797,
lmaokai,Rairiku,,25k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 10 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$392 million,,Untapped,None,,West Africa,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64701,
mylifeformeme,mylifeformeme,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 6 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$392 million,4021 Mbbl; 2 Mbbl,Untapped,None,,Egypt,United States,16500 km 2,http://blocgame.com/stats.php?id=64829,
GODLESS BLACKS,Ingrate119,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Good,online now,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$392 million,1 Mbbl,Untapped,None,,East Africa,Neutral,24418 km 2,http://blocgame.com/stats.php?id=65030,
Portland,Ellio98,Interpol,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 8 hours ago,6 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$390 million,408 Mbbl,,None,,Pacific Rim,United States,19212 km 2,http://blocgame.com/stats.php?id=51583,
Chaldea,Protector,,16k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 8 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$390 million,4804 Mbbl,Untapped,Meagre,,Mesopotamia,United States,20000 km 2,http://blocgame.com/stats.php?id=64774,
Yamada,Yamazaki,Steel Brotherhood,37k active personnel,0 ships,First World War surplus,Normal,1 factory,Standard,last online 12 hours ago,8 Hundred Tons per month,1 Mbbl per month,Central Planning,$390 million,157 Mbbl; 1 Mbbl,Untapped,Mediocre,,Pacific Rim,Soviet Union,24851 km 2,http://blocgame.com/stats.php?id=64884,
dickinmybutt,diddellydickinmybutt,ISIS,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 103 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$389 million,292 Mbbl; 1 Mbbl,Untapped,None,,Congo,United States,13477 km 2,http://blocgame.com/stats.php?id=64780,
McSkippumstan,Coldoldgold,Interpol,35k active personnel,0 ships,First World War surplus,Good,None,Elite,last online 9 hours ago,2 Hundred Tons per month,,Free Market,$388 million,,Untapped,Meagre,,Persia,Neutral,22750 km 2,http://blocgame.com/stats.php?id=4944,
Kolisnia,Oliver Tochev,Pact of Red October,40k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 19 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$388 million,326 Mbbl; 1 Mbbl,Untapped,Small,,Indochina,Soviet Union,22620 km 2,http://blocgame.com/stats.php?id=64822,
newbeerpg,newbeerpg,,18k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 5 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$387 million,1409 Mbbl; 2 Mbbl,Untapped,None,,Egypt,United States,20000 km 2,http://blocgame.com/stats.php?id=64880,
Rare_Pepes,Karl_M.,The Order,32k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 16 hours ago,9 Hundred Tons per month,6 Mbbl per month,Central Planning,$386 million,472 Mbbl; 6 Mbbl,Untapped,Small,,Guinea,Soviet Union,26170 km 2,http://blocgame.com/stats.php?id=63313,
Bratavia,Jack Calvin,,11k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 1 hours ago,4 Hundred Tons per month,,Central Planning,$385 million,215 Mbbl,Untapped,None,,Indochina,Neutral,16667 km 2,http://blocgame.com/stats.php?id=60351,
Military101,Militaryruler,,35k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 35 hours ago,2 Hundred Tons per month,,Central Planning,$384 million,,Untapped,Meagre,,Atlas,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64273,
Made of Beans,FAVsniper69,HellYeah,13k active personnel,0 ships,First World War surplus,Normal,None,Elite,online now,4 Hundred Tons per month,1 Mbbl per month,Central Planning,$384 million,481 Mbbl; 1 Mbbl,Untapped,None,,China,United States,24650 km 2,http://blocgame.com/stats.php?id=64806,
ID 309,cxcxxxxx,Brotherhood of Nod,41k active personnel,0 ships,First World War surplus,Nice,2 factories,Good,last online 1 hours ago,4 Hundred Tons per month,,Mixed Economy,$384 million,,Untapped,Small,,Persia,Soviet Union,23665 km 2,http://blocgame.com/stats.php?id=64985,
yeeeet,yoloswaggins,,6k active personnel,0 ships,Second World War surplus,Normal,None,Undisciplined Rabble,last online 8 hours ago,2 Hundred Tons per month,,Mixed Economy,$383 million,1375 Mbbl,Untapped,None,,Egypt,Neutral,2135 km 2,http://blocgame.com/stats.php?id=59818,
SuperDuper,Jose Miguel,,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 14 hours ago,3 Hundred Tons per month,,Central Planning,$383 million,,Untapped,Meagre,,Mesoamerica,Soviet Union,23665 km 2,http://blocgame.com/stats.php?id=64894,
Cavetta,Liamv3,Pact of Red October,33k active personnel,0 ships,First World War surplus,Good,None,Good,last online 10 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$383 million,451 Mbbl; 1 Mbbl,Untapped,Small,,Pacific Rim,Soviet Union,23500 km 2,http://blocgame.com/stats.php?id=64933,
Rostock,InnocentAce,,49k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 108 hours ago,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$382 million,335 Mbbl,Untapped,Large,,China,Soviet Union,23698 km 2,http://blocgame.com/stats.php?id=40376,
Galifrey,Eduardo lomeli,,61k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 5 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$380 million,111 Mbbl; 1 Mbbl,Plentiful,Meagre,,West Africa,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=51939,
Planeptune,Nep-Nep,Interpol,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 4 hours ago,6 Hundred Tons per month,3 Mbbl per month,Free Market,$380 million,451 Mbbl,Plentiful,Meagre,,Pacific Rim,United States,20594 km 2,http://blocgame.com/stats.php?id=55590,
switzerdouch,yaboimtndew,,7k active personnel,0 ships,Second World War surplus,Nice,None,Undisciplined Rabble,last online 8 hours ago,2 Hundred Tons per month,,Mixed Economy,$380 million,121 Mbbl,Untapped,None,,Mesoamerica,Neutral,5334 km 2,http://blocgame.com/stats.php?id=58997,
Jigaboo Tribe,Spearchucker Jones,,2k active personnel,0 ships,Finest of the 19th century,Isolated,None,Undisciplined Rabble,online now,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$380 million,1 Mbbl,Untapped,None,,East Africa,Soviet Union,21532 km 2,http://blocgame.com/stats.php?id=65027,
Dumbdumb,Dumbdumb,,5k active personnel,0 ships,First World War surplus,Good,None,Undisciplined Rabble,last online 54 hours ago,2 Hundred Tons per month,,Mixed Economy,$379 million,,Untapped,None,,Indochina,Neutral,12345 km 2,http://blocgame.com/stats.php?id=63201,
Hogwr,Erebor,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 34 hours ago,2 Hundred Tons per month,,Central Planning,$379 million,,Untapped,None,,Southern Cone,Neutral,16500 km 2,http://blocgame.com/stats.php?id=64807,
Casto Rico,Charles M Talleyrand,SPQR,10k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 10 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$379 million,423 Mbbl,Untapped,Meagre,,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64885,
wonker,wonker505,,23k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 130 hours ago,1 Hundred Tons per month,,Central Planning,$379 million,,Untapped,None,,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64896,
qwertyuioppp,qwertyuioppp,Brotherhood of Nod,82k active personnel,0 ships,Second World War surplus,Nice,None,Poor,last online 22 hours ago,2 Hundred Tons per month,,Central Planning,$377 million,,,None,,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61873,
deicide,THE AVENGER213,HellYeah,19k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 9 hours ago,3 Hundred Tons per month,2 Mbbl per month,Central Planning,$377 million,1622 Mbbl; 2 Mbbl,Untapped,Small,,Persia,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=64818,
Samgrad,Admiral Awesome,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 164 hours ago,2 Hundred Tons per month,,Mixed Economy,$377 million,,Untapped,None,,Indochina,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=64844,
Galliana,LittleJim,,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 9 hours ago,7 Hundred Tons per month,1 Mbbl per month,Central Planning,$377 million,324 Mbbl; 1 Mbbl,Untapped,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64861,
Silveran,Zeahil,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 148 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$377 million,1 Mbbl,Untapped,None,,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64873,
vrandirland,comradeewing,,14k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 7 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$377 million,93 Mbbl; 1 Mbbl,Untapped,Meagre,,Indochina,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64916,
cuba5587,cheguevara,,54k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 116 hours ago,2 Hundred Tons per month,,Central Planning,$376 million,,Untapped,None,,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=60080,
Lantany,Colchiz,,5k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 33 hours ago,2 Hundred Tons per month,,Mixed Economy,$376 million,,Untapped,None,,Gran Colombia,Neutral,16067 km 2,http://blocgame.com/stats.php?id=64529,
Picanninia,oppengrubenfuhrer,Uncivilized Africans,4k active personnel,0 ships,Finest of the 19th century,Questionable,1 factory,Poor,last online 3 hours ago,13 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$375 million,,Untapped,None,,East Africa,Neutral,10247 km 2,http://blocgame.com/stats.php?id=64400,
Darken,Lorenzo Burnett,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 157 hours ago,2 Hundred Tons per month,,Free Market,$375 million,,Untapped,None,,Congo,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64823,
York Island,Sir York,PIRATES,48k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,last online 8 hours ago,16 Hundred Tons per month,5 Mbbl per month,Free Market,$374 million,373 Mbbl,Untapped,Somewhat Large,,Caribbean,United States,26633 km 2,http://blocgame.com/stats.php?id=64122,
damnbro,mpetersen3,,5k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 11 hours ago,2 Hundred Tons per month,,Mixed Economy,$374 million,,Untapped,None,,Southern Africa,Neutral,21634 km 2,http://blocgame.com/stats.php?id=64705,
Yummy,JonSud,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 101 hours ago,3 Hundred Tons per month,,Central Planning,$374 million,,Untapped,None,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64911,
Westeria North,Aaron Akaare,,16k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 100 hours ago,2 Hundred Tons per month,,Mixed Economy,$374 million,,Untapped,None,,West Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64948,
Angles,Badman,SPQR,8k active personnel,0 ships,Second World War surplus,Good,2 factories,Elite,last online 4 hours ago,10 Hundred Tons per month,,Free Market,$373 million,,Untapped,None,,Mesopotamia,United States,16445 km 2,http://blocgame.com/stats.php?id=62095,
Irrelevant,NotImportant,The United Nations,11k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 139 hours ago,3 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$371 million,3764 Mbbl; 4 Mbbl,Untapped,None,,Persia,Neutral,16172 km 2,http://blocgame.com/stats.php?id=64032,
PadangJarak,PadangJarak,,20k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,last online 17 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$371 million,315 Mbbl,Untapped,Mediocre,,Guinea,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64954,
Minnikonia,emily minnikin,Minnikolisnia Treaty,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 163 hours ago,2 Hundred Tons per month,,Mixed Economy,$370 million,,Untapped,None,,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64847,
Liberstine,zachvega,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 99 hours ago,2 Hundred Tons per month,,Free Market,$369 million,,Untapped,None,,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64634,
Blake Island,Sir Jack Sparrow,PIRATES,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 8 hours ago,24 Hundred Tons per month,4 Mbbl per month,Free Market,$368 million,361 Mbbl; 4 Mbbl,Untapped,Large,,Caribbean,United States,27391 km 2,http://blocgame.com/stats.php?id=64105,
Chinkostan,jimmy_jungaz,The Order,77k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 2 hours ago,16 Hundred Tons per month,5 Mbbl per month,Free Market,$368 million,316 Mbbl,Untapped,Somewhat Large,,Indochina,United States,20000 km 2,http://blocgame.com/stats.php?id=64521,
Fiddle Dogs,Kazuhira Hamburger,The Divine Council,34k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 6 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$367 million,1465 Mbbl; 2 Mbbl,Untapped,Mediocre,,Arabia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=59470,
Tesoro,Ughiur,,5k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 33 hours ago,2 Hundred Tons per month,,Mixed Economy,$367 million,,Untapped,None,,Mesoamerica,Neutral,16167 km 2,http://blocgame.com/stats.php?id=64524,
FuckPussyStan,AutisticNigger,,8k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 9 hours ago,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$367 million,3 Mbbl,Untapped,None,,Mesopotamia,Soviet Union,13890 km 2,http://blocgame.com/stats.php?id=64781,
Fanboys,Steve Jobs,Comintern,17k active personnel,0 ships,Second World War surplus,Normal,None,Standard,online now,3 Hundred Tons per month,6 Mbbl per month,Central Planning,$366 million,1622 Mbbl; 6 Mbbl,,None,,Egypt,Soviet Union,16667 km 2,http://blocgame.com/stats.php?id=64178,
GRAVYPIPE,ElDeuce,SPQR,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,online now,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$366 million,2510 Mbbl; 5 Mbbl,Plentiful,None,,Persia,Soviet Union,18336 km 2,http://blocgame.com/stats.php?id=64560,
Zanyaristan,Zanyar,Pact of Red October,55k active personnel,0 ships,First World War surplus,Angelic,1 factory,Undisciplined Rabble,last online 8 hours ago,4 Hundred Tons per month,5 Mbbl per month,Central Planning,$366 million,1145 Mbbl,,Small,,Mesopotamia,Soviet Union,19330 km 2,http://blocgame.com/stats.php?id=64891,
Wessex,Benjamin.H,,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 33 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$366 million,2413 Mbbl,Untapped,None,,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64910,
Demolunatics,Hugh Jaynus,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 153 hours ago,2 Hundred Tons per month,,Central Planning,$365 million,,Untapped,None,,West Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=59515,
Trumperwave,VCPRChavez,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 150 hours ago,2 Hundred Tons per month,,Mixed Economy,$365 million,,Untapped,None,,Caribbean,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64868,
Slavistan,JosipBrozTito,,5k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 18 hours ago,9 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$364 million,293 Mbbl; 9 Mbbl,Untapped,None,,Arabia,Neutral,6525 km 2,http://blocgame.com/stats.php?id=64113,
Well Bad,nogoodnastynegro,The Order,45k active personnel,0 ships,First World War surplus,Normal,None,Elite,online now,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$364 million,52 Mbbl; 2 Mbbl,Untapped,Meagre,,East Africa,Soviet Union,23256 km 2,http://blocgame.com/stats.php?id=65032,
penang fc,faiz subri,PIRATES,28k active personnel,0 ships,First World War surplus,Nice,1 factory,Good,online now,3 Hundred Tons per month,3 Mbbl per month,Free Market,$425 million,2670 Mbbl; 3 Mbbl,Untapped,Small,,Arabia,United States,27330 km 2,http://blocgame.com/stats.php?id=64923,
Poorfags,Bernie Sanders,Steel Brotherhood,57k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 27 hours ago,7 Hundred Tons per month,7 Mbbl per month,Free Market,$361 million,2738 Mbbl,Untapped,Mediocre,,Persia,United States,16335 km 2,http://blocgame.com/stats.php?id=64871,
Lork,Naple,,2k active personnel,0 ships,Finest of the 19th century,Normal,None,Undisciplined Rabble,last online 33 hours ago,2 Hundred Tons per month,,Mixed Economy,$360 million,,Untapped,None,,Caribbean,Neutral,19400 km 2,http://blocgame.com/stats.php?id=64526,
Macedonain,TheMacedonia,,19k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 114 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$360 million,1 Mbbl,Untapped,None,,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64925,
star,jhon,The Divine Council,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 29 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$360 million,293 Mbbl; 1 Mbbl,Untapped,Meagre,,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64928,
South yemen,wessam,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 108 hours ago,2 Hundred Tons per month,,Mixed Economy,$359 million,,Untapped,None,,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=50446,
Kelvenia,Lance Adams,,2k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 41 hours ago,2 Hundred Tons per month,,Mixed Economy,$359 million,,Untapped,None,,Amazonia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=61410,
Anthony,sgtandrade2014,,136k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 123 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$359 million,3 Mbbl,Untapped,None,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62825,
Egyiptias,Krasniqi,,6k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 114 hours ago,2 Hundred Tons per month,,Free Market,$359 million,,Untapped,None,,Egypt,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64926,
Billybobjoe,Johnsoncool676,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 113 hours ago,2 Hundred Tons per month,,Central Planning,$359 million,,Untapped,None,,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64929,
