country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Rubixi,Zeirocism,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 52 hours ago,2 Hundred Tons per month,,Free Market,$325 million,,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64586,,
Wren,Caustic Wren,,20k active personnel,0 ships,Finest of the 19th century,Nice,1 factory,Standard,last online 3 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$325 million,1 Mbbl,Untapped,None,West Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64590,,
Tushur,dungjames,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 19 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$325 million,2086 Mbbl; 1 Mbbl,Untapped,Meagre,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64602,,
Caldraniya,Alek_Vulken_I,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 135 hours ago,2 Hundred Tons per month,,Central Planning,$324 million,,Untapped,None,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64457,,
Cum,Psycho,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 135 hours ago,2 Hundred Tons per month,,Mixed Economy,$324 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64458,,
Polarine,Cheshire,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 133 hours ago,2 Hundred Tons per month,,Mixed Economy,$324 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64462,,
Rerum,Rickard,,9k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 67 hours ago,2 Hundred Tons per month,,Free Market,$324 million,,Untapped,None,Gran Colombia,Neutral,16667 km 2,http://blocgame.com/stats.php?id=64531,,
Mak sara,Sufian169,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Poor,last online 66 hours ago,2 Hundred Tons per month,,Mixed Economy,$324 million,,Untapped,None,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64561,,
Singapore no2,Caleb Neo,,23k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 2 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$324 million,163 Mbbl,Untapped,None,East Indies,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64582,,
Obaslavia,Zi Xuan Lee,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 40 hours ago,2 Hundred Tons per month,,Mixed Economy,$324 million,,Untapped,None,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64594,,
Jambo,History98,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 38 hours ago,2 Hundred Tons per month,,Central Planning,$324 million,,Untapped,None,Congo,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64599,,
Horsefuckery,Bolt,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 26 hours ago,2 Hundred Tons per month,,Free Market,$324 million,163 Mbbl,Untapped,None,Guinea,United States,20000 km 2,http://blocgame.com/stats.php?id=64631,,
Mata Helang,Mata Helang,PIRATES,24k active personnel,0 ships,Finest of the 19th century,Gandhi-like,2 factories,Standard,last online 2 hours ago,29 Hundred Tons per month,3 Mbbl per month,Free Market,$323 million,372 Mbbl; 3 Mbbl,Plentiful,Somewhat Large,Pacific Rim,United States,20000 km 2,http://blocgame.com/stats.php?id=64412,,
ZESI,alessandroro,,8k active personnel,0 ships,First World War surplus,Angelic,None,Standard,last online 109 hours ago,2 Hundred Tons per month,,Mixed Economy,$322 million,,Untapped,None,East Africa,Neutral,16335 km 2,http://blocgame.com/stats.php?id=60288,,
Gville,awesome111,,34k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 147 hours ago,4 Hundred Tons per month,,Free Market,$322 million,,Untapped,None,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64446,,
Gabenistan,Aditya,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 95 hours ago,2 Hundred Tons per month,,Central Planning,$322 million,,Untapped,None,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64453,,
JapaneseMeme,Leonardotse,,8k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 4 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$322 million,92 Mbbl; 1 Mbbl,Near Depletion,None,Pacific Rim,Neutral,16167 km 2,http://blocgame.com/stats.php?id=64540,,
superpower,super,,42k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 1 hours ago,16 Hundred Tons per month,10 Mbbl per month,Central Planning,$321 million,2703 Mbbl; 10 Mbbl,,None,Persia,Soviet Union,16667 km 2,http://blocgame.com/stats.php?id=64012,,
