country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Sttusau,someLeader1,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 140 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$362 million,119 Mbbl; 1 Mbbl,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64382,,
Felinia,Neko-sama,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 95 hours ago,2 Hundred Tons per month,,Mixed Economy,$361 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=52995,,
Zhongguo,Chairman Mao,The Order,72k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 2 hours ago,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$361 million,329 Mbbl; 5 Mbbl,Untapped,Meagre,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63425,,
ONE__KOREA,kleebo_2,The Order,69k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 5 hours ago,12 Hundred Tons per month,5 Mbbl per month,Central Planning,$361 million,141 Mbbl,Untapped,Small,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63934,,
Chaosia,mVdd,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 111 hours ago,2 Hundred Tons per month,,Free Market,$361 million,,Untapped,None,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64419,,
Kitt,cici,PIRATES,14k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 14 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$360 million,101 Mbbl,Untapped,Meagre,Indochina,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64247,,
kitts,kids,PIRATES,24k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 3 hours ago,5 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$360 million,398 Mbbl,Untapped,None,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64269,,
tony,sgtandrade2019,The Order,18k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Good,last online 85 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$359 million,1 Mbbl,Untapped,Mediocre,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=62876,,
Beluncas War,RamaRama,PIRATES,23k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,last online 18 hours ago,15 Hundred Tons per month,18 Mbbl per month,Free Market,$358 million,126 Mbbl; 18 Mbbl,Plentiful,None,Pacific Rim,United States,20000 km 2,http://blocgame.com/stats.php?id=61487,,
Slavistan,JosipBrozTito,,9k active personnel,0 ships,First World War surplus,Nice,None,Undisciplined Rabble,last online 110 hours ago,11 Hundred Tons per month,11 Mbbl per month,Mixed Economy,$358 million,1008 Mbbl; 11 Mbbl,Untapped,None,Arabia,Neutral,14541 km 2,http://blocgame.com/stats.php?id=64113,,
Abel,ProtoGoomba,,37k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,online now,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$358 million,3426 Mbbl; 3 Mbbl,Near Depletion,Small,Atlas,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=64248,,
Italialand,luca.gu,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 130 hours ago,2 Hundred Tons per month,,Mixed Economy,$357 million,,Untapped,None,The Subcontinent,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64389,,
Hartonia,fipers,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 125 hours ago,2 Hundred Tons per month,,Free Market,$357 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64404,,
fuckmejerry,basher6643,,20k active personnel,0 ships,First World War surplus,Good,None,Undisciplined Rabble,last online 5 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$357 million,2444 Mbbl; 1 Mbbl,Untapped,None,Egypt,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64451,,
Qara Qoyunlu,Pole,,4k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 40 hours ago,2 Hundred Tons per month,,Central Planning,$357 million,,Untapped,None,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64487,,
Monsanto,Yuris,,4k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 40 hours ago,2 Hundred Tons per month,,Free Market,$357 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64494,,
Somaliya,Al Somali,Interpol,38k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,5 Hundred Tons per month,5 Mbbl per month,Free Market,$356 million,3309 Mbbl,Untapped,Meagre,Arabia,United States,24321 km 2,http://blocgame.com/stats.php?id=52569,,
Weeabo Island,misterjohnson,The High Council,57k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 1 hours ago,4 Hundred Tons per month,3 Mbbl per month,Central Planning,$356 million,2738 Mbbl; 3 Mbbl,Near Depletion,Small,Persia,Soviet Union,16974 km 2,http://blocgame.com/stats.php?id=64179,,
icenation,icenation,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 42 hours ago,2 Hundred Tons per month,2 Mbbl per month,Free Market,$356 million,1469 Mbbl; 2 Mbbl,Untapped,None,Atlas,United States,16500 km 2,http://blocgame.com/stats.php?id=64337,,
Alpha,Ryguy1005,,5k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 9 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$354 million,179 Mbbl; 1 Mbbl,Untapped,Small,Gran Colombia,United States,19250 km 2,http://blocgame.com/stats.php?id=64279,,
Keeland,Sosagun,,7k active personnel,0 ships,First World War surplus,Normal,None,Elite,last online 9 hours ago,6 Hundred Tons per month,3 Mbbl per month,Free Market,$354 million,184 Mbbl; 3 Mbbl,,None,Congo,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=64411,,
Julogris,Necro,,10k active personnel,0 ships,Finest of the 19th century,Questionable,None,Good,last online 88 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$354 million,121 Mbbl; 1 Mbbl,Untapped,None,Amazonia,Soviet Union,16667 km 2,http://blocgame.com/stats.php?id=64442,,
Utopia,Ozymandias,The Order,129k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 3 hours ago,30 Hundred Tons per month,35 Mbbl per month,Free Market,$353 million,5250 Mbbl,Plentiful,Mediocre,Arabia,United States,35643 km 2,http://blocgame.com/stats.php?id=40759,,
East Black Rock,Shiro Shirogane,The High Council,5k active personnel,0 ships,First World War surplus,Questionable,None,Poor,last online 65 hours ago,3 Hundred Tons per month,,Mixed Economy,$351 million,,Untapped,None,Pacific Rim,Neutral,16335 km 2,http://blocgame.com/stats.php?id=60120,,
molo,Klovis,,9k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 40 hours ago,2 Hundred Tons per month,,Mixed Economy,$351 million,,Untapped,None,Amazonia,Neutral,16667 km 2,http://blocgame.com/stats.php?id=64485,,
Davestan,DaveRock,,4k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 40 hours ago,2 Hundred Tons per month,,Free Market,$351 million,,Untapped,None,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64491,,
Agency,/k/altsin,,27k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 14 hours ago,4 Hundred Tons per month,,Central Planning,$350 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=41378,,
Tesoro,Ughiur,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 19 hours ago,2 Hundred Tons per month,,Free Market,$350 million,,Untapped,None,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64524,,
Nascour,POlos,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 19 hours ago,2 Hundred Tons per month,,Mixed Economy,$350 million,,Untapped,None,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64525,,
Vorose,Tellmo,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 18 hours ago,2 Hundred Tons per month,,Mixed Economy,$350 million,,Untapped,None,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64535,,
Vistrius,Moltius,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 77 hours ago,2 Hundred Tons per month,,Mixed Economy,$348 million,,Untapped,None,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64410,,
Sri Mersing,Rafiqi12,PIRATES,41k active personnel,0 ships,First World War surplus,Normal,1 factory,Standard,last online 4 hours ago,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$348 million,526 Mbbl; 2 Mbbl,Untapped,Mediocre,East Indies,Soviet Union,24363 km 2,http://blocgame.com/stats.php?id=64413,,
GayRights,CrazyFrog,Brotherhood of Nod,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 2 hours ago,10 Hundred Tons per month,,Free Market,$347 million,,Untapped,Meagre,Arabia,United States,20274 km 2,http://blocgame.com/stats.php?id=62099,,
Uppertown,rosens,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 109 hours ago,3 Hundred Tons per month,1 Mbbl per month,Free Market,$347 million,,Untapped,None,Arabia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=64423,,
doot doot,blusky,,30k active personnel,0 ships,First World War surplus,Good,None,Poor,online now,4 Hundred Tons per month,1 Mbbl per month,Free Market,$347 million,3510 Mbbl; 1 Mbbl,,Meagre,Egypt,United States,20000 km 2,http://blocgame.com/stats.php?id=64465,,
qwertyuiop,rumsods mom,The High Council,34k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 11 hours ago,4 Hundred Tons per month,,Central Planning,$346 million,,Untapped,Meagre,Arabia,Neutral,20398 km 2,http://blocgame.com/stats.php?id=59451,,
Lopon,Olomg,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 18 hours ago,2 Hundred Tons per month,,Central Planning,$346 million,,Untapped,None,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64532,,
Black Money,Babe,,12k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 35 hours ago,5 Hundred Tons per month,4 Mbbl per month,Central Planning,$345 million,1731 Mbbl; 4 Mbbl,Untapped,Small,Atlas,Soviet Union,20108 km 2,http://blocgame.com/stats.php?id=64241,,
landoffensive,landoffensive,,32k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 19 hours ago,2 Hundred Tons per month,,Central Planning,$345 million,68 Mbbl,Untapped,Small,China,United States,22687 km 2,http://blocgame.com/stats.php?id=64291,,
Peopleoil,newname,The Federal Colonies,58k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 3 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$344 million,2896 Mbbl,Untapped,Large,Egypt,United States,18907 km 2,http://blocgame.com/stats.php?id=59041,,
korea____one,clark510,,15k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,5 Hundred Tons per month,4 Mbbl per month,Central Planning,$344 million,2238 Mbbl; 4 Mbbl,Untapped,Small,Arabia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=63941,,
superpower,super,,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 5 hours ago,7 Hundred Tons per month,6 Mbbl per month,Central Planning,$344 million,3288 Mbbl; 6 Mbbl,Untapped,None,Persia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64012,,
Ussk,Sabariahhisham,PIRATES,70k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 2 hours ago,6 Hundred Tons per month,5 Mbbl per month,Free Market,$343 million,1355 Mbbl,Untapped,Mediocre,Arabia,United States,19969 km 2,http://blocgame.com/stats.php?id=62132,,2 Tons
Sharky Lands,vampir24,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 85 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$343 million,341 Mbbl; 1 Mbbl,Untapped,None,East Indies,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64418,,
Siberian Russia,Zukov,,6k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 106 hours ago,2 Hundred Tons per month,,Mixed Economy,$343 million,,Untapped,None,China,Neutral,16335 km 2,http://blocgame.com/stats.php?id=64431,,
hypocrates,sarah4424,,18k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Undisciplined Rabble,last online 1 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$343 million,3064 Mbbl,Plentiful,None,Mesopotamia,United States,20000 km 2,http://blocgame.com/stats.php?id=64450,,
Roarspekistan,roar,Che Guevara League,15k active personnel,0 ships,First World War surplus,Nice,None,Standard,last online 3 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$342 million,444 Mbbl; 1 Mbbl,Untapped,None,Gran Colombia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=59084,,
Lower Silesia,antivistia,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 89 hours ago,2 Hundred Tons per month,,Central Planning,$342 million,,Untapped,None,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64455,,
South Colombia,Mavi,,9k active personnel,0 ships,Finest of the 19th century,Nice,None,Undisciplined Rabble,last online 40 hours ago,2 Hundred Tons per month,,Free Market,$342 million,,Untapped,None,Gran Colombia,Neutral,16667 km 2,http://blocgame.com/stats.php?id=64488,,
Mazov,Noiver,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 18 hours ago,2 Hundred Tons per month,,Mixed Economy,$342 million,,Untapped,None,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64533,,
Novonia,Helms,,4k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 18 hours ago,2 Hundred Tons per month,,Central Planning,$342 million,,Untapped,None,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64536,,
