country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Palm,Hyde,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 87 hours ago,2 Hundred Tons per month,,Free Market,$334 million,,Untapped,None,,Caribbean,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64959,
nbaworthy,nbaworthy,,19k active personnel,0 ships,First World War surplus,Normal,None,Standard,last online 9 hours ago,2 Hundred Tons per month,,Mixed Economy,$333 million,,Untapped,Mediocre,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64295,
Nikomahovska,Karaslav,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 100 hours ago,2 Hundred Tons per month,,Central Planning,$333 million,,Untapped,None,,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64931,
Azerthia,X-1043,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 100 hours ago,2 Hundred Tons per month,,Central Planning,$333 million,,Untapped,None,,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64932,
red,ders,Steel Brotherhood,39k active personnel,0 ships,Finest of the 19th century,Normal,1 factory,Good,last online 18 hours ago,6 Hundred Tons per month,,Central Planning,$332 million,,Untapped,Meagre,,Southern Cone,Neutral,20398 km 2,http://blocgame.com/stats.php?id=64927,
Magrathea,jesterthemolester,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 53 hours ago,2 Hundred Tons per month,,Free Market,$332 million,199 Mbbl,Untapped,None,,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64984,
Statzen,Benjor Harlaug XVI,,10k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 47 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$332 million,3792 Mbbl; 1 Mbbl,Untapped,None,,Mesopotamia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65005,
Carranza,AimeeC,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Poor,last online 158 hours ago,2 Hundred Tons per month,,Free Market,$331 million,114 Mbbl,Untapped,None,,Mesoamerica,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64842,
The Lost,Vypr,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 117 hours ago,2 Hundred Tons per month,,Mixed Economy,$330 million,,Untapped,None,,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=40441,
SteelSoul,Cruach,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 120 hours ago,2 Hundred Tons per month,,Mixed Economy,$330 million,,Untapped,None,,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=50406,
Belginia,Dylan Peters,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 118 hours ago,2 Hundred Tons per month,,Mixed Economy,$330 million,,Untapped,None,,Indochina,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64895,
burning bush,united apes,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 117 hours ago,2 Hundred Tons per month,,Central Planning,$330 million,,Untapped,None,,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64898,
Krisdons,CedrickScorll,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 111 hours ago,2 Hundred Tons per month,,Central Planning,$330 million,,Untapped,None,,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64909,
Koreochina,knight_raider,USAS,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 13 hours ago,4 Hundred Tons per month,1 Mbbl per month,Free Market,$330 million,1 Mbbl,Untapped,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64961,
Hazelnut Union,polandgunbro,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 4 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$330 million,,Untapped,None,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64983,
ACROSS,The_God-Emperor_Trump,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 21 hours ago,4 Hundred Tons per month,2 Mbbl per month,Central Planning,$330 million,306 Mbbl; 2 Mbbl,Untapped,None,,Congo,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64992,
Boru,Skillet9!,The United Nations,8k active personnel,0 ships,First World War surplus,Questionable,1 factory,Standard,last online 23 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$329 million,,Untapped,None,,Mesopotamia,Neutral,13750 km 2,http://blocgame.com/stats.php?id=61318,
aspete lapete,putin 80,,22k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 107 hours ago,2 Hundred Tons per month,,Free Market,$329 million,,Untapped,None,,Indochina,United States,20000 km 2,http://blocgame.com/stats.php?id=64915,
Brentica,Brenticula,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 103 hours ago,2 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$329 million,1 Mbbl,Untapped,None,,Pacific Rim,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64922,
Asgurd,oneiljack,The Order,20k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Standard,last online 7 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$329 million,443 Mbbl,Untapped,None,,Indochina,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64960,
Snusers,Snuupy,The Order,178k active personnel,13 ships,Korean War surplus,Isolated,6 factories,Elite,online now,110 Hundred Tons per month,,Free Market,$328 million,5773 Mbbl,Plentiful,Very Powerful,,The Subcontinent,United States,107530 km 2,http://blocgame.com/stats.php?id=58336,
Coriloni,0sighnomore0,Interpol,7k active personnel,0 ships,First World War surplus,Normal,None,Standard,last online 21 hours ago,5 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$328 million,69 Mbbl; 1 Mbbl,Untapped,Meagre,,China,United States,16500 km 2,http://blocgame.com/stats.php?id=64892,
Tom and Jerry,Tom and Jerry,,6k active personnel,0 ships,First World War surplus,Good,None,Standard,last online 23 hours ago,2 Hundred Tons per month,,Mixed Economy,$327 million,,Untapped,None,,China,Neutral,13613 km 2,http://blocgame.com/stats.php?id=64288,
Baxten,Vetruvious,,24k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 98 hours ago,2 Hundred Tons per month,,Mixed Economy,$327 million,,Untapped,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64934,
Shew Nation,Febrianaji26,,22k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 178 hours ago,2 Hundred Tons per month,,Mixed Economy,$326 million,,Untapped,None,,Mesoamerica,United States,20000 km 2,http://blocgame.com/stats.php?id=64794,
Mosl,Hyuga,,8k active personnel,0 ships,Finest of the 19th century,Questionable,None,Standard,last online 22 hours ago,2 Hundred Tons per month,,Mixed Economy,$326 million,,Untapped,None,,Amazonia,Neutral,19100 km 2,http://blocgame.com/stats.php?id=64810,
Dormund,G0as,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 116 hours ago,2 Hundred Tons per month,,Central Planning,$326 million,,Untapped,None,,China,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64899,
Sodia,Capt. Williams,,20k active personnel,0 ships,Finest of the 19th century,Angelic,None,Standard,last online 94 hours ago,2 Hundred Tons per month,,Mixed Economy,$326 million,,Untapped,None,,Persia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64944,
BULWELL,TWBBULWELL,,20k active personnel,0 ships,First World War surplus,Angelic,1 factory,Good,online now,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$326 million,332 Mbbl,Untapped,Small,,China,United States,20000 km 2,http://blocgame.com/stats.php?id=64946,
Numeria,NuclearFoot,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 53 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$325 million,1 Mbbl,Untapped,None,,Arabia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=42223,
Gumniaki,Gumniak,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 128 hours ago,2 Hundred Tons per month,2 Mbbl per month,Central Planning,$325 million,331 Mbbl; 2 Mbbl,Untapped,None,,Amazonia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=61536,
Musso,Yerp,,8k active personnel,0 ships,Finest of the 19th century,Questionable,None,Standard,last online 22 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,,Southern Cone,Neutral,19100 km 2,http://blocgame.com/stats.php?id=64809,
Saladia,logine123,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 126 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,,Southern Cone,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64886,
Romalonia,Darkerpink,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 123 hours ago,3 Hundred Tons per month,,Free Market,$325 million,234 Mbbl,Untapped,None,,West Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64888,
Richyland,ImRichard,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 76 hours ago,3 Hundred Tons per month,,Central Planning,$325 million,,Untapped,None,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64967,
SKYTRAIL,Mohdnizarudin,,33k active personnel,0 ships,First World War surplus,Mad Dog,1 factory,Good,last online 17 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$325 million,419 Mbbl,Untapped,None,,Gran Colombia,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64995,
Brikania,Goodsoldier,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 60 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,,The Subcontinent,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64998,
Themida,themi97,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 13 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65000,
Abu Khanatra,DoubleA,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 59 hours ago,2 Hundred Tons per month,,Mixed Economy,$325 million,,Untapped,None,,Arabia,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65001,
Saladah,Lannes,SPQR,35k active personnel,0 ships,Finest of the 19th century,Good,None,Good,online now,5 Hundred Tons per month,2 Mbbl per month,Central Planning,$325 million,3314 Mbbl; 2 Mbbl,Untapped,Small,,Persia,Neutral,20398 km 2,http://blocgame.com/stats.php?id=65004,
jdlkasfh,jkdasflk,,20k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 50 hours ago,2 Hundred Tons per month,,Central Planning,$325 million,,Untapped,None,,Pacific Rim,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65009,
Iron_kid14,Iron_kid14,,25k active personnel,0 ships,First World War surplus,Nice,None,Elite,last online 50 hours ago,2 Hundred Tons per month,,Free Market,$325 million,,Untapped,None,,Egypt,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65010,
Sakajawia,Empoperking,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 134 hours ago,2 Hundred Tons per month,,Central Planning,$324 million,,Untapped,None,,Caribbean,Neutral,16500 km 2,http://blocgame.com/stats.php?id=52810,
identitiesys,Jason5555,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Undisciplined Rabble,last online 12 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$324 million,41 Mbbl,Untapped,None,,Pacific Rim,Neutral,12506 km 2,http://blocgame.com/stats.php?id=64475,
Columbiana,Doss,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 47 hours ago,2 Hundred Tons per month,,Mixed Economy,$324 million,101 Mbbl,Untapped,None,,Mesoamerica,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65014,
New Sandez,Fragtastic,,20k active personnel,0 ships,Finest of the 19th century,Good,None,Standard,last online 18 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$324 million,1914 Mbbl,Untapped,None,,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=65017,
Firestar,koll1987,Steel Brotherhood,5k active personnel,0 ships,Finest of the 19th century,Questionable,None,Good,last online 9 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$323 million,36 Mbbl; 1 Mbbl,Untapped,None,,East Indies,Neutral,9125 km 2,http://blocgame.com/stats.php?id=64695,
Notrealistan,braderrrs,FuckFishy,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 80 hours ago,2 Hundred Tons per month,,Central Planning,$323 million,,Untapped,None,,Arabia,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=64801,
Arentina,Perez Jimenez,,25k active personnel,0 ships,First World War surplus,Angelic,None,Elite,last online 46 hours ago,3 Hundred Tons per month,,Central Planning,$323 million,,Untapped,None,,Mesoamerica,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=64930,
Mulan,star,,29k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,last online 18 hours ago,4 Hundred Tons per month,2 Mbbl per month,Free Market,$323 million,3988 Mbbl; 2 Mbbl,Untapped,Small,,Atlas,Neutral,20000 km 2,http://blocgame.com/stats.php?id=64956,
