country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium
Spratly,asy_syakir,,10k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 159 hours ago,5 Hundred Tons per month,1 Mbbl per month,Free Market,$452 million,336 Mbbl; 1 Mbbl,Untapped,Meagre,Persia,United States,15850 km 2,http://blocgame.com/stats.php?id=60451,
Endau,Syazwanjalil,PIRATES,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Poor,last online 15 hours ago,7 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$452 million,207 Mbbl,Untapped,Meagre,East Indies,United States,20000 km 2,http://blocgame.com/stats.php?id=61932,
Jarhead,Jarhead99,,15k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 120 hours ago,3 Hundred Tons per month,1 Mbbl per month,Central Planning,$451 million,480 Mbbl; 1 Mbbl,Untapped,Small,Amazonia,Soviet Union,19800 km 2,http://blocgame.com/stats.php?id=59874,
Persona-Grata,syafiqsudin,NOVA ASEAN,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 35 hours ago,8 Hundred Tons per month,5 Mbbl per month,Central Planning,$451 million,410 Mbbl; 5 Mbbl,Untapped,Small,East Indies,Soviet Union,22777 km 2,http://blocgame.com/stats.php?id=60788,
XDXDXD,MalaysianMaster,Brotherhood of Zion,27k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,online now,3 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$451 million,3634 Mbbl; 3 Mbbl,Untapped,Mediocre,Mesopotamia,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=61521,
Antah_Berantah,zonda,,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 52 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$451 million,290 Mbbl; 1 Mbbl,Untapped,Small,East Indies,Soviet Union,12948 km 2,http://blocgame.com/stats.php?id=62247,
Zalkanir,Delkamar,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 99 hours ago,2 Hundred Tons per month,,Central Planning,$451 million,,Untapped,None,China,Neutral,13343 km 2,http://blocgame.com/stats.php?id=62483,
RadYugoslavija,Cobraaahhh1,The High Council,14k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Elite,last online 17 hours ago,11 Hundred Tons per month,7 Mbbl per month,Central Planning,$451 million,102 Mbbl; 7 Mbbl,,Meagre,Pacific Rim,Soviet Union,27627 km 2,http://blocgame.com/stats.php?id=62615,
Inderapura,Lordfazal,PIRATES,32k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 5 hours ago,6 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$451 million,394 Mbbl,Untapped,Mediocre,East Indies,United States,16010 km 2,http://blocgame.com/stats.php?id=62928,
Lesser China,Justin Trudeau,Brotherhood of Zion,41k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 4 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$451 million,309 Mbbl,Untapped,None,China,United States,26877 km 2,http://blocgame.com/stats.php?id=62995,
Lomar,Sarnen,Brotherhood of Zion,26k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Poor,last online 1 hours ago,5 Hundred Tons per month,2 Mbbl per month,Free Market,$451 million,2970 Mbbl,Untapped,Meagre,Mesopotamia,United States,20000 km 2,http://blocgame.com/stats.php?id=63175,
epf,kwsp,The Federal Colonies,59k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,15 Hundred Tons per month,4 Mbbl per month,Free Market,$451 million,231 Mbbl,Untapped,Mediocre,East Indies,United States,29525 km 2,http://blocgame.com/stats.php?id=63191,
kasturi,mt.lekiu,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Standard,last online 58 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$450 million,302 Mbbl; 2 Mbbl,Untapped,None,Congo,Neutral,25145 km 2,http://blocgame.com/stats.php?id=60887,
West Pacific,Thunder Eagle,The Khilafah,16k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Good,last online 10 hours ago,5 Hundred Tons per month,1 Mbbl per month,Central Planning,$450 million,388 Mbbl; 1 Mbbl,Untapped,None,Pacific Rim,Neutral,13343 km 2,http://blocgame.com/stats.php?id=62429,
fotamorgana,nadim,,16k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 31 hours ago,2 Hundred Tons per month,1 Mbbl per month,Central Planning,$450 million,1 Mbbl,Untapped,None,East Indies,United States,16335 km 2,http://blocgame.com/stats.php?id=62833,
Taristan,Aldzerd,The Order,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 148 hours ago,2 Hundred Tons per month,,Mixed Economy,$450 million,,Untapped,None,Persia,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63235,
Diptheria,Dompers,,4k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 160 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$450 million,3403 Mbbl; 1 Mbbl,Untapped,None,Mesopotamia,Neutral,19602 km 2,http://blocgame.com/stats.php?id=63277,
Sandniggeristan,King Negro,The Order,33k active personnel,0 ships,First World War surplus,Angelic,1 factory,Poor,online now,4 Hundred Tons per month,6 Mbbl per month,Central Planning,$450 million,3670 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Mesopotamia,Soviet Union,20600 km 2,http://blocgame.com/stats.php?id=63365,
eQna8,Dave_Smith,The Order,35k active personnel,0 ships,First World War surplus,Angelic,1 factory,Elite,online now,15 Hundred Tons per month,,Central Planning,$449 million,56 Mbbl,Untapped,Meagre,Congo,Soviet Union,31289 km 2,http://blocgame.com/stats.php?id=48695,
