country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
RollingRock,Jonzy,http://blocgame.com/alliancestats.php?allianceid=2045,35k active personnel,0 ships,First World War surplus,None,Standard,last online 11 hours ago,rankings.php?subregion=saf,The Order,$300 million,alliancestats.php?allianceid=2045,Southern Africa,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=62175,217 Mbbl; 3 Mbbl,,,Angelic,3 Hundred Tons per month,3 Mbbl per month
Artoria,Mason,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 80 hours ago,rankings.php?subregion=pac,,$308 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62302,,,,Nice,3 Hundred Tons per month,
Raizar,Far-Han,,30k active personnel,0 ships,First World War surplus,None,Good,last online 14 hours ago,rankings.php?subregion=sub,,$308 million,,The Subcontinent,Untapped,Small,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=62443,440 Mbbl; 2 Mbbl,,,Nice,3 Hundred Tons per month,2 Mbbl per month
Subaland,khodeq,,27k active personnel,0 ships,First World War surplus,None,Elite,online now,rankings.php?subregion=ind,,$308 million,,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62574,,,,Good,3 Hundred Tons per month,1 Mbbl per month
Meviora,Mevius,http://blocgame.com/alliancestats.php?allianceid=2069,25k active personnel,0 ships,First World War surplus,None,Elite,last online 11 hours ago,rankings.php?subregion=per,PIRATES,$308 million,alliancestats.php?allianceid=2069,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,20398 km 2,http://blocgame.com/stats.php?id=62583,3361 Mbbl; 2 Mbbl,,,Normal,2 Hundred Tons per month,2 Mbbl per month
Dredd\\\'s,Dredd,http://blocgame.com/alliancestats.php?allianceid=2049,32k active personnel,0 ships,First World War surplus,None,Good,last online 7 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,$308 million,alliancestats.php?allianceid=2049,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,20398 km 2,http://blocgame.com/stats.php?id=62798,3366 Mbbl; 4 Mbbl,,,Nice,4 Hundred Tons per month,4 Mbbl per month
Lesser China,Justin Trudeau,http://blocgame.com/alliancestats.php?allianceid=2048,35k active personnel,0 ships,First World War surplus,None,Good,last online 7 hours ago,rankings.php?subregion=chi,Brotherhood of Zion,$308 million,alliancestats.php?allianceid=2048,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20788 km 2,http://blocgame.com/stats.php?id=62995,,,,Good,4 Hundred Tons per month,
valhakut,jujukilla,,24k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 27 hours ago,rankings.php?subregion=gra,,$308 million,,Gran Colombia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gra,20587 km 2,http://blocgame.com/stats.php?id=62998,451 Mbbl,,,Good,2 Hundred Tons per month,
Huntubuntu,Soviet,http://blocgame.com/alliancestats.php?allianceid=2079,37k active personnel,0 ships,First World War surplus,None,Standard,last online 46 hours ago,rankings.php?subregion=egy,Freedom Legion,$308 million,alliancestats.php?allianceid=2079,Egypt,Untapped,None,http://blocgame.com/rankings.php?subregion=egy,19799 km 2,http://blocgame.com/stats.php?id=63290,3385 Mbbl,,,Good,2 Hundred Tons per month,1 Mbbl per month
yo momma,joseph ballin,,22k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 49 hours ago,rankings.php?subregion=eaf,,$305 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=63350,203 Mbbl,,,Good,3 Hundred Tons per month,
Benis :DDD,Cappin Murica,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 48 hours ago,rankings.php?subregion=chi,,$308 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=63389,,,,Good,2 Hundred Tons per month,
Francisquien,Francis_Heldon,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 48 hours ago,rankings.php?subregion=chi,,$305 million,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=63421,,,,Nice,1 Hundred Tons per month,
AlanGalaxy,AlanGalaxy,http://blocgame.com/alliancestats.php?allianceid=2082,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 22 hours ago,rankings.php?subregion=chi,When you eat food,$308 million,alliancestats.php?allianceid=2082,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=63456,286 Mbbl; 1 Mbbl,,,Good,4 Hundred Tons per month,1 Mbbl per month
Hispanionla,Aerthendt,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 35 hours ago,rankings.php?subregion=car,,$308 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=63669,,,,Normal,3 Hundred Tons per month,1 Mbbl per month
doubleswee,twxn,,23k active personnel,0 ships,First World War surplus,None,Elite,last online 28 hours ago,rankings.php?subregion=ara,,$308 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=63670,3974 Mbbl; 3 Mbbl,,,Questionable,3 Hundred Tons per month,3 Mbbl per month
